,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,0.9999999999999997,0.8571428571428569,0.5698028822981897,0.5976143046671968,0.5698028822981897,0.6681531047810608,0.5976143046671968,0.45584230583855173,0.3086066999241838,0.4285714285714285,0.43355498476205995,0.4364357804719848,0.6299407883487119,0.45584230583855173,0.6172133998483676,0.4364357804719848,0.4364357804719848,0.35856858280031806,0.41239304942116123,0.44543540318737396,0.4364357804719848,0.5202659817144719,0.6681531047810608,0.5976143046671968,0.3030457633656632,0.37796447300922725,0.35093120317179816,0.3666793988112845,0.23145502494313788,0.6614378277661476,0.5640760748177661,0.5070925528371099,0.5050762722761053,0.6289709020331509,0.45584230583855173,0.4780914437337574,0.4335549847620599,0.3030457633656632,0.4780914437337574,0.3418817293789138,0.5976143046671968,0.4879500364742665,0.6289709020331509,0.4364357804719848,0.5698028822981897,0.2672612419124244,0.2672612419124244,0.3273268353539886,0.45584230583855173,0.545544725589981
The cyber-attacker accessed your computer programs.,0.8571428571428569,0.9999999999999997,0.5698028822981897,0.5976143046671968,0.5698028822981897,0.6681531047810608,0.5976143046671968,0.45584230583855173,0.3086066999241838,0.4285714285714285,0.43355498476205995,0.4364357804719848,0.6299407883487119,0.45584230583855173,0.6172133998483676,0.4364357804719848,0.4364357804719848,0.35856858280031806,0.41239304942116123,0.44543540318737396,0.4364357804719848,0.5202659817144719,0.6681531047810608,0.5976143046671968,0.3030457633656632,0.37796447300922725,0.35093120317179816,0.3666793988112845,0.23145502494313788,0.6614378277661476,0.5640760748177661,0.5070925528371099,0.5050762722761053,0.5241424183609591,0.45584230583855173,0.4780914437337574,0.4335549847620599,0.3030457633656632,0.4780914437337574,0.3418817293789138,0.5976143046671968,0.4879500364742665,0.5241424183609591,0.4364357804719848,0.5698028822981897,0.2672612419124244,0.2672612419124244,0.3273268353539886,0.45584230583855173,0.545544725589981
The cyber-attacker accessed your information stored in an Internet site.,0.5698028822981897,0.5698028822981897,1.0000000000000002,0.38138503569823695,0.3636363636363637,0.42640143271122083,0.38138503569823695,0.45454545454545464,0.3692744729379983,0.3418817293789138,0.48420012470625223,0.6092717958449426,0.40201512610368484,0.9090909090909093,0.492365963917331,0.5222329678670936,0.34815531191139576,0.38138503569823695,0.46056618647183833,0.42640143271122094,0.5222329678670936,0.48420012470625223,0.42640143271122083,0.38138503569823695,0.40291148201269017,0.6030226891555273,0.33593550657351257,0.4387634544762784,0.3692744729379983,0.4522670168666455,0.3214121732666125,0.337099931231621,0.40291148201269017,0.4181210050035455,0.9090909090909093,0.6674238124719147,0.41502867831964474,0.4834937784152282,0.38138503569823695,0.5454545454545455,0.38138503569823695,0.3113995776646092,0.4181210050035455,0.4351941398892447,0.3636363636363637,0.3553345272593508,0.3553345272593508,0.5222329678670936,0.3636363636363637,0.34815531191139576
The cyber-attacker caused a program on your computer to crash.,0.5976143046671968,0.5976143046671968,0.38138503569823695,0.9999999999999999,0.762770071396474,0.8944271909999159,0.7,0.5720775535473555,0.45184805705753206,0.35856858280031806,0.43528575006600695,0.3651483716701108,0.5270462766947299,0.38138503569823695,0.5163977794943223,0.3651483716701108,0.36514837167011077,0.39999999999999997,0.3450327796711771,0.447213595499958,0.36514837167011077,0.43528575006600695,0.5590169943749475,0.6,0.253546276418555,0.31622776601683794,0.29361010975735174,0.38348249442368526,0.25819888974716115,0.5533985905294664,0.5393598899705937,0.4242640687119285,0.42257712736425834,0.5262348115842176,0.38138503569823695,0.39999999999999997,0.3627381250550058,0.33806170189140666,0.39999999999999997,0.2860387767736777,0.49999999999999994,0.40824829046386296,0.5262348115842176,0.45643546458763845,0.5720775535473555,0.372677996249965,0.298142396999972,0.2738612787525831,0.38138503569823695,0.5477225575051662
The cyber-attacker caused your computer program to run very slowly.,0.5698028822981897,0.5698028822981897,0.3636363636363637,0.762770071396474,1.0000000000000002,0.7462025072446364,0.9534625892455926,0.8181818181818183,0.43082021842766466,0.3418817293789138,0.41502867831964474,0.3481553119113957,0.502518907629606,0.3636363636363637,0.492365963917331,0.3481553119113957,0.4351941398892447,0.2860387767736777,0.3289758474798845,0.42640143271122094,0.34815531191139576,0.41502867831964474,0.533001790889026,0.5720775535473555,0.24174688920761409,0.30151134457776363,0.2799462554779271,0.36563621206356534,0.2461829819586655,0.5276448530110863,0.642824346533225,0.40451991747794525,0.40291148201269017,0.5017452060042545,0.3636363636363637,0.38138503569823695,0.3458572319330373,0.24174688920761409,0.38138503569823695,0.27272727272727276,0.4767312946227962,0.3892494720807615,0.5017452060042545,0.4351941398892447,0.45454545454545464,0.2842676218074806,0.2842676218074806,0.2611164839335468,0.3636363636363637,0.5222329678670936
The cyber-attacker caused your computer to crash.,0.6681531047810608,0.6681531047810608,0.42640143271122083,0.8944271909999159,0.7462025072446364,0.9999999999999999,0.7826237921249264,0.6396021490668312,0.5051814855409226,0.4008918628686365,0.4866642633922875,0.408248290463863,0.5892556509887895,0.42640143271122083,0.5773502691896258,0.408248290463863,0.4082482904638631,0.33541019662496846,0.3857583749052298,0.49999999999999994,0.4082482904638631,0.4866642633922875,0.6249999999999999,0.6708203932499369,0.2834733547569204,0.35355339059327373,0.32826608214930636,0.42874646285627205,0.2886751345948129,0.618718433538229,0.6030226891555271,0.47434164902525683,0.472455591261534,0.588348405414552,0.42640143271122083,0.4472135954999579,0.4055535528269063,0.2834733547569204,0.4472135954999579,0.3198010745334156,0.5590169943749475,0.45643546458763834,0.588348405414552,0.5103103630798288,0.533001790889026,0.3333333333333333,0.3333333333333333,0.3061862178478973,0.42640143271122083,0.6123724356957946
The cyber-attacker caused your computer to run very slowly.,0.5976143046671968,0.5976143046671968,0.38138503569823695,0.7,0.9534625892455926,0.7826237921249264,0.9999999999999999,0.8581163303210333,0.45184805705753206,0.35856858280031806,0.43528575006600695,0.3651483716701108,0.5270462766947299,0.38138503569823695,0.5163977794943223,0.3651483716701108,0.45643546458763845,0.3,0.3450327796711771,0.447213595499958,0.36514837167011077,0.43528575006600695,0.5590169943749475,0.6,0.253546276418555,0.31622776601683794,0.29361010975735174,0.38348249442368526,0.25819888974716115,0.5533985905294664,0.674199862463242,0.4242640687119285,0.42257712736425834,0.5262348115842176,0.38138503569823695,0.39999999999999997,0.3627381250550058,0.253546276418555,0.39999999999999997,0.2860387767736777,0.49999999999999994,0.40824829046386296,0.5262348115842176,0.45643546458763845,0.4767312946227962,0.298142396999972,0.298142396999972,0.2738612787525831,0.38138503569823695,0.5477225575051662
The cyber-attacker caused your Internet connection to run very slowly.,0.45584230583855173,0.45584230583855173,0.45454545454545464,0.5720775535473555,0.8181818181818183,0.6396021490668312,0.8581163303210333,1.0000000000000002,0.5539117094069974,0.3418817293789138,0.48420012470625223,0.43519413988924466,0.40201512610368484,0.45454545454545464,0.492365963917331,0.43519413988924466,0.4351941398892447,0.2860387767736777,0.3947710169758614,0.42640143271122094,0.4351941398892447,0.48420012470625223,0.42640143271122083,0.4767312946227962,0.3223291856101521,0.4221158824088691,0.2799462554779271,0.4387634544762784,0.3692744729379983,0.4522670168666455,0.5142594772265799,0.337099931231621,0.40291148201269017,0.4181210050035455,0.45454545454545464,0.4767312946227962,0.41502867831964474,0.3223291856101521,0.38138503569823695,0.3636363636363637,0.38138503569823695,0.3113995776646092,0.4181210050035455,0.5222329678670936,0.3636363636363637,0.3553345272593508,0.2842676218074806,0.34815531191139576,0.3636363636363637,0.4351941398892447
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.3086066999241838,0.3086066999241838,0.3692744729379983,0.45184805705753206,0.43082021842766466,0.5051814855409226,0.45184805705753206,0.5539117094069974,1.0,0.23145502494313788,0.4214636152117623,0.35355339059327384,0.2721655269759087,0.3692744729379983,0.3333333333333334,0.35355339059327384,0.2357022603955159,0.19364916731037088,0.31180478223116187,0.3849001794597506,0.4124789556921528,0.4214636152117623,0.2886751345948129,0.38729833462074176,0.43643578047198484,0.4082482904638631,0.2653343152526162,0.4455663943395035,0.3750000000000001,0.3061862178478973,0.3046358979224712,0.22821773229381925,0.2727723627949905,0.3396831102433788,0.3692744729379983,0.38729833462074176,0.3278050340535929,0.3273268353539886,0.32274861218395146,0.3692744729379983,0.32274861218395146,0.31622776601683794,0.3396831102433788,0.4714045207910318,0.2461829819586655,0.4330127018922194,0.3849001794597506,0.35355339059327384,0.2461829819586655,0.35355339059327384
The cyber-attacker changed a device’s serial number.,0.4285714285714285,0.4285714285714285,0.3418817293789138,0.35856858280031806,0.3418817293789138,0.4008918628686365,0.35856858280031806,0.3418817293789138,0.23145502494313788,0.9999999999999997,0.5202659817144719,0.545544725589981,0.3779644730092272,0.3418817293789138,0.46291004988627577,0.4364357804719848,0.4364357804719848,0.35856858280031806,0.329914439536929,0.445435403187374,0.3273268353539886,0.3468439878096479,0.4008918628686365,0.35856858280031806,0.3030457633656632,0.37796447300922725,0.35093120317179816,0.27500954910846337,0.23145502494313788,0.47245559126153397,0.24174688920761406,0.25354627641855493,0.40406101782088427,0.3144854510165755,0.3418817293789138,0.35856858280031806,0.3468439878096479,0.3030457633656632,0.35856858280031806,0.3418817293789138,0.35856858280031806,0.2927700218845599,0.3144854510165755,0.4364357804719848,0.3418817293789138,0.2672612419124244,0.2672612419124244,0.3273268353539886,0.3418817293789138,0.3273268353539886
