,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0,0.5813603399116293,0.382152600874506,0.1881146761825867,0.1741691921559046,0.2439010842016196,0.19568716208150816,0.09766140983746659,0.05685642158733795,0.06633907636368876,0.07597397298761421,0.08888378539533198,0.16336636961904794,0.10037461724904034,0.13773568709679193,0.0802416595928912,0.0726272373015943,0.05082468287378142,0.07281719052242841,0.08586116921155557,0.0798970660061092,0.14141745095714403,0.18540160493605293,0.1648562317226874,0.04553627470240875,0.07680931467534206,0.06403644054844153,0.07033592745380125,0.035082379381168864,0.20505669929788542,0.19756513683960775,0.14373188541581405,0.09228894550905123,0.35497892464099584,0.10605686003045275,0.10025920172757556,0.07684691007993259,0.046539760504130306,0.09429578196011631,0.062102191947683655,0.1874152586701702,0.13700882742754864,0.34378529000257463,0.08556928447709458,0.14553475146318054,0.043942993695485266,0.042569709648328374,0.05391443708426455,0.07495693852593541,0.13864371803985276
The cyber-attacker accessed your computer programs.,0.5813603399116293,1.0000000000000002,0.35475600956018655,0.1746286999212547,0.16168297024842254,0.22641576993265955,0.18165831289210643,0.09066004513034541,0.05278037410719934,0.06158321559198032,0.07052738467785592,0.08251169022347353,0.15165460407639533,0.09317874219595851,0.12786138997006125,0.0744891200335148,0.06742057709808758,0.04718105186829695,0.06759691253705098,0.0797057659583115,0.07416923042531358,0.1312792074917856,0.17211012925898445,0.15303765768762964,0.04227177066621052,0.07130284056401098,0.05944565616828894,0.06529353168112874,0.03256731705255889,0.19035614623591032,0.18340165528913213,0.1334277197119497,0.08567273377281011,0.13287027997519146,0.09845362393135197,0.09307160083477856,0.0713377407470264,0.04320331638343029,0.08753569974397085,0.05765007421089289,0.1739794237809024,0.1271866390062292,0.1286804499173896,0.07943480649496633,0.13510133795573945,0.04079271227217953,0.039517879214790434,0.050049301022494726,0.0695832616066411,0.12870432400526152
The cyber-attacker accessed your information stored in an Internet site.,0.382152600874506,0.35475600956018655,1.0,0.07801086281334937,0.0722276923380414,0.10114539920963911,0.08115116090494222,0.1217979371159783,0.09961096305804971,0.049244566135244285,0.13979999342779684,0.2938602013839404,0.06774777868100323,0.7611273546175654,0.10224342158815267,0.1696750550377505,0.053912369399162545,0.09013886282362002,0.1547763803398366,0.14670189981575482,0.17990179553336785,0.13489007762528318,0.07688575639894735,0.06836562217166749,0.11711757656050553,0.3245709805121978,0.08715626285924608,0.17000708097846431,0.14596786644633655,0.09784114786945126,0.06804675474453797,0.06763044504054352,0.06850757245634528,0.1827029869934808,0.8042150448628056,0.3077032425778788,0.08908625176462345,0.19363879148282115,0.06999727951520307,0.258389670830309,0.077720815461821,0.056817347043641955,0.17694177036401035,0.10671730366319258,0.06035303444346581,0.11301971806131457,0.15426763102929406,0.22432273667474203,0.05564174418557759,0.05749533363065071
The cyber-attacker caused a program on your computer to crash.,0.1881146761825867,0.1746286999212547,0.07801086281334937,1.0000000000000002,0.550765280428418,0.77127445660341,0.36660628042969223,0.2700271046516337,0.1924626619148398,0.04942051889458522,0.10130746983932483,0.06621561583809801,0.12170279116091418,0.07477592303362496,0.10260874132928892,0.05977750477415376,0.0541050004019891,0.16230533508908884,0.05424650955849068,0.10794077248281408,0.05952079342392105,0.10535153924568447,0.1381183462609057,0.1799255422412597,0.03392308798485479,0.05722051610098438,0.04770512786033407,0.09601568865604898,0.06054413530576161,0.15276077144268713,0.18874247787505485,0.10707571989703867,0.06875235269009407,0.15621486589321176,0.07900901463114561,0.07468994211149078,0.05724852349127015,0.14862171284664255,0.0702473825304928,0.04626417367826918,0.13961845476209317,0.10206725380810883,0.15128890546987953,0.11681076903791605,0.23428468472570257,0.18342848429438363,0.07346554898322598,0.040164554628503206,0.05584055431210214,0.15131697410521266
The cyber-attacker caused your computer program to run very slowly.,0.1741691921559046,0.16168297024842254,0.0722276923380414,0.550765280428418,1.0,0.42305804166159694,0.8900389289889092,0.7418917749183349,0.17819484915332504,0.04575683315341614,0.09379725462859548,0.061306861073579556,0.11268061189995195,0.06923256798335929,0.09500205910627788,0.05534602576943353,0.16663243575142853,0.03505590764606766,0.05022505919692012,0.09993881139698278,0.05510834517271133,0.09754152549475807,0.12787923450917993,0.16658714235542518,0.03140827153762899,0.052978594048553616,0.04416860900881502,0.0888977684616449,0.056055823766494595,0.1414361744400061,0.3898394173011046,0.09913788765677105,0.06365554229925612,0.1446342068970492,0.07315184827995089,0.0691529610752072,0.05300452517014104,0.032100417628862905,0.06503974126148106,0.04283447692025688,0.1292681356364074,0.09450071361830065,0.14007342214099436,0.10815124950004863,0.10038139970802505,0.07021361588970522,0.06801933574432585,0.037187040240062086,0.05170093281098834,0.14009940996735698
The cyber-attacker caused your computer to crash.,0.2439010842016196,0.22641576993265955,0.10114539920963911,0.77127445660341,0.42305804166159694,1.0000000000000002,0.47532532328916666,0.350105079119043,0.2495384882346807,0.06407643669703078,0.13135073899046187,0.08585220899146946,0.15779440135600636,0.0969511208278933,0.13303790946372598,0.0775048418398373,0.0701501261175695,0.04909119561681269,0.07033360056728066,0.13995118282300034,0.07717200137295185,0.13659409869430736,0.17907807665401043,0.2332834190226237,0.04398316020246224,0.07418956457209268,0.06185233732544585,0.12448965194424988,0.07849882073417797,0.19806279092325346,0.2447150638259843,0.1388295942907093,0.08914122865272923,0.20254121545935957,0.10243955825931379,0.09683964180586939,0.07422587770297102,0.04495241992048834,0.09107961754607162,0.05998406051460648,0.18102305031201765,0.13233584093734857,0.19615443526567147,0.15145162404617304,0.14057096963823426,0.09832494960352035,0.09525214838147042,0.05207556698478328,0.07240036777312256,0.19619082780414182
The cyber-attacker caused your computer to run very slowly.,0.19568716208150816,0.18165831289210643,0.08115116090494222,0.36660628042969223,0.8900389289889092,0.47532532328916666,1.0,0.8335498041205113,0.20021017435243615,0.051409923389976034,0.10538556412936889,0.06888110067637672,0.12660189147901424,0.07778599983487015,0.10673921781623748,0.06218382586063626,0.18721926684793913,0.03938693747462421,0.056430182502215,0.11228588788865002,0.06191678069105901,0.1095924260364274,0.14367824860700384,0.18716837761767277,0.03528864919797274,0.05952390656523047,0.0496254799315249,0.09988076427469687,0.06298131681742779,0.15891009913541496,0.4380026587645611,0.11138601293472906,0.07151995292112592,0.16250323686555457,0.08218949295066447,0.07769655778288875,0.05955304138253208,0.036066307420203766,0.07307516462832327,0.048126520678053,0.1452387434145796,0.10617593291751201,0.1573789837486309,0.12151294283600522,0.11278315637503525,0.078888252640217,0.07642287716740248,0.04178136374586091,0.058088394930905986,0.15740818227637635
The cyber-attacker caused your Internet connection to run very slowly.,0.09766140983746659,0.09066004513034541,0.1217979371159783,0.2700271046516337,0.7418917749183349,0.350105079119043,0.8335498041205113,1.0000000000000002,0.23239357973183417,0.04592657978141383,0.12808917484683072,0.11117411075745101,0.06318308814136997,0.11674724317855105,0.0953544934439441,0.10036470781779139,0.16725060121731664,0.03518595646510125,0.07872705110249627,0.10030955987478621,0.09292949203606708,0.12580149238729693,0.07170536979882944,0.11683438084067625,0.06543291997829537,0.12180947705569486,0.04433246371478772,0.12234274178613971,0.20134409519143354,0.09124883487023884,0.3179730907383487,0.0630736601735244,0.06389168874808125,0.10143788873660749,0.12335634613687355,0.11661300163103315,0.08308382366205615,0.066874869426126,0.06528102274894682,0.08923715834783853,0.07248416448996209,0.05298912401424399,0.09823922372808974,0.14883973602938733,0.056286584875289807,0.10319580187575667,0.0682716707965033,0.07747184130595805,0.051892730590777335,0.09825745005432081
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.05685642158733795,0.05278037410719934,0.09961096305804971,0.1924626619148398,0.17819484915332504,0.2495384882346807,0.20021017435243615,0.23239357973183417,1.0000000000000002,0.026737490135175315,0.11852088828865402,0.0936224906766733,0.03678386685728039,0.09548031438590089,0.05551338331607867,0.08451962294025778,0.0292718884153671,0.02048452482984769,0.06231802353277964,0.11027547391804882,0.17572311721184677,0.11198633747258882,0.04174536024150412,0.09891771831675249,0.2661376578837013,0.13973899742713772,0.07394199168950404,0.1419578834151506,0.12573792531246356,0.05312315512718863,0.08191868523548763,0.03672016019275826,0.03719639924749747,0.08588229280195277,0.10088548894153745,0.09537052656726215,0.06576671684837383,0.08825985445501083,0.07534972053339493,0.11777306894721268,0.08366384758430252,0.0914747767036711,0.08317414609012415,0.13881464841516136,0.032768867505670804,0.15749504328816397,0.19969828702760054,0.10224548468956393,0.030210857827033817,0.08318957739203288
The cyber-attacker changed a device’s serial number.,0.06633907636368876,0.06158321559198032,0.049244566135244285,0.04942051889458522,0.04575683315341614,0.06407643669703078,0.051409923389976034,0.04592657978141383,0.026737490135175315,1.0000000000000002,0.1985745954338705,0.27386928743797134,0.042918771253453676,0.04720250173317088,0.06477204284400857,0.059681182222785865,0.2014344452505574,0.03780177498066326,0.03771001652474284,0.18420562028703052,0.0375726602998797,0.04431853320733042,0.048707754789611625,0.04331018015220315,0.033868425977845236,0.057128313756268624,0.04762825814745127,0.03307640744776017,0.02609315269997152,0.07267269524654152,0.03151807886340534,0.031325251415111034,0.04779390189635883,0.03760274333488033,0.049874652144190075,0.047148226045738276,0.03979689724635976,0.03461478665002441,0.04434384840900251,0.046189625848572134,0.04923677152787772,0.03599425351606304,0.03641700710921943,0.2088567249467813,0.03823414036831359,0.032683394479384946,0.03166198968943122,0.04009983542700777,0.03524949950150347,0.03642376355768007
