,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0000000000000002,0.8333333333333336,0.5163977794943223,0.408248290463863,0.38729833462074176,0.46291004988627577,0.408248290463863,0.25819888974716115,0.1873171623163388,0.3333333333333334,0.21821789023599242,0.2721655269759087,0.43301270189221935,0.25819888974716115,0.36514837167011077,0.2721655269759087,0.2461829819586655,0.2721655269759087,0.1924500897298753,0.21081851067789195,0.2461829819586655,0.32732683535398865,0.46291004988627577,0.408248290463863,0.22645540682891918,0.1924500897298753,0.1924500897298753,0.20412414523193154,0.1873171623163388,0.36927447293799825,0.39605901719066977,0.31622776601683794,0.2461829819586655,0.4714045207910318,0.25819888974716115,0.2721655269759087,0.20412414523193154,0.22645540682891918,0.2721655269759087,0.25819888974716115,0.408248290463863,0.35355339059327384,0.4714045207910318,0.2461829819586655,0.38729833462074176,0.21081851067789195,0.21081851067789195,0.2461829819586655,0.25819888974716115,0.36927447293799825
The cyber-attacker accessed your computer programs.,0.8333333333333336,1.0000000000000002,0.5163977794943223,0.408248290463863,0.38729833462074176,0.46291004988627577,0.408248290463863,0.25819888974716115,0.1873171623163388,0.3333333333333334,0.21821789023599242,0.2721655269759087,0.43301270189221935,0.25819888974716115,0.36514837167011077,0.2721655269759087,0.2461829819586655,0.2721655269759087,0.1924500897298753,0.21081851067789195,0.2461829819586655,0.32732683535398865,0.46291004988627577,0.408248290463863,0.22645540682891918,0.1924500897298753,0.1924500897298753,0.20412414523193154,0.1873171623163388,0.36927447293799825,0.39605901719066977,0.31622776601683794,0.2461829819586655,0.35355339059327384,0.25819888974716115,0.2721655269759087,0.20412414523193154,0.22645540682891918,0.2721655269759087,0.25819888974716115,0.408248290463863,0.35355339059327384,0.35355339059327384,0.2461829819586655,0.38729833462074176,0.21081851067789195,0.21081851067789195,0.2461829819586655,0.25819888974716115,0.36927447293799825
The cyber-attacker accessed your information stored in an Internet site.,0.5163977794943223,0.5163977794943223,0.9999999999999999,0.21081851067789195,0.2,0.23904572186687872,0.21081851067789195,0.2,0.14509525002200233,0.25819888974716115,0.253546276418555,0.4216370213557839,0.22360679774997896,0.7999999999999999,0.282842712474619,0.31622776601683794,0.19069251784911848,0.21081851067789195,0.149071198499986,0.1632993161855452,0.2860387767736777,0.16903085094570333,0.23904572186687872,0.21081851067789195,0.2631174057921088,0.372677996249965,0.149071198499986,0.15811388300841897,0.29019050004400465,0.19069251784911848,0.1533929977694741,0.1632993161855452,0.19069251784911848,0.1825741858350554,0.7999999999999999,0.4216370213557839,0.15811388300841897,0.3508232077228117,0.21081851067789195,0.39999999999999997,0.21081851067789195,0.1825741858350554,0.1825741858350554,0.19069251784911848,0.2,0.1632993161855452,0.1632993161855452,0.38138503569823695,0.2,0.19069251784911848
The cyber-attacker caused a program on your computer to crash.,0.408248290463863,0.408248290463863,0.21081851067789195,0.9999999999999997,0.4216370213557839,0.7559289460184543,0.5555555555555555,0.31622776601683794,0.22941573387056172,0.2721655269759087,0.1781741612749496,0.2222222222222222,0.35355339059327373,0.21081851067789195,0.2981423969999719,0.2222222222222222,0.20100756305184242,0.2222222222222222,0.15713484026367724,0.17213259316477406,0.20100756305184242,0.2672612419124244,0.3779644730092272,0.3333333333333333,0.1849000654084097,0.15713484026367724,0.15713484026367724,0.16666666666666666,0.15294382258037448,0.30151134457776363,0.32338083338177726,0.2581988897471611,0.20100756305184242,0.2886751345948129,0.21081851067789195,0.2222222222222222,0.16666666666666666,0.1849000654084097,0.2222222222222222,0.21081851067789195,0.3333333333333333,0.2886751345948129,0.2886751345948129,0.20100756305184242,0.4216370213557839,0.17213259316477406,0.17213259316477406,0.20100756305184242,0.21081851067789195,0.40201512610368484
The cyber-attacker caused your computer program to run very slowly.,0.38729833462074176,0.38729833462074176,0.2,0.4216370213557839,0.9999999999999999,0.5976143046671968,0.8432740427115678,0.7,0.29019050004400465,0.25819888974716115,0.16903085094570333,0.21081851067789195,0.33541019662496846,0.2,0.282842712474619,0.21081851067789195,0.19069251784911848,0.21081851067789195,0.149071198499986,0.1632993161855452,0.19069251784911848,0.253546276418555,0.35856858280031806,0.31622776601683794,0.17541160386140586,0.149071198499986,0.149071198499986,0.15811388300841897,0.14509525002200233,0.2860387767736777,0.3834824944236852,0.2449489742783178,0.19069251784911848,0.2738612787525831,0.2,0.21081851067789195,0.15811388300841897,0.17541160386140586,0.21081851067789195,0.2,0.31622776601683794,0.2738612787525831,0.2738612787525831,0.19069251784911848,0.3,0.1632993161855452,0.1632993161855452,0.19069251784911848,0.2,0.2860387767736777
The cyber-attacker caused your computer to crash.,0.46291004988627577,0.46291004988627577,0.23904572186687872,0.7559289460184543,0.5976143046671968,0.9999999999999997,0.7559289460184543,0.4780914437337574,0.3468439878096479,0.3086066999241838,0.20203050891044214,0.2519763153394848,0.4008918628686365,0.23904572186687872,0.3380617018914066,0.2519763153394848,0.2279211529192759,0.2519763153394848,0.1781741612749496,0.1951800145897066,0.2279211529192759,0.3030457633656632,0.4285714285714285,0.3779644730092272,0.20965696734438366,0.1781741612749496,0.1781741612749496,0.1889822365046136,0.17342199390482396,0.3418817293789138,0.3666793988112845,0.2927700218845599,0.2279211529192759,0.3273268353539886,0.23904572186687872,0.2519763153394848,0.1889822365046136,0.20965696734438366,0.2519763153394848,0.23904572186687872,0.3779644730092272,0.3273268353539886,0.3273268353539886,0.2279211529192759,0.35856858280031806,0.1951800145897066,0.1951800145897066,0.2279211529192759,0.23904572186687872,0.45584230583855173
The cyber-attacker caused your computer to run very slowly.,0.408248290463863,0.408248290463863,0.21081851067789195,0.5555555555555555,0.8432740427115678,0.7559289460184543,0.9999999999999997,0.7378647873726218,0.30588764516074896,0.2721655269759087,0.1781741612749496,0.2222222222222222,0.35355339059327373,0.21081851067789195,0.2981423969999719,0.2222222222222222,0.20100756305184242,0.2222222222222222,0.15713484026367724,0.17213259316477406,0.20100756305184242,0.2672612419124244,0.3779644730092272,0.3333333333333333,0.1849000654084097,0.15713484026367724,0.15713484026367724,0.16666666666666666,0.15294382258037448,0.30151134457776363,0.4042260417272216,0.2581988897471611,0.20100756305184242,0.2886751345948129,0.21081851067789195,0.2222222222222222,0.16666666666666666,0.1849000654084097,0.2222222222222222,0.21081851067789195,0.3333333333333333,0.2886751345948129,0.2886751345948129,0.20100756305184242,0.31622776601683794,0.17213259316477406,0.17213259316477406,0.20100756305184242,0.21081851067789195,0.40201512610368484
The cyber-attacker caused your Internet connection to run very slowly.,0.25819888974716115,0.25819888974716115,0.2,0.31622776601683794,0.7,0.4780914437337574,0.7378647873726218,0.9999999999999999,0.29019050004400465,0.25819888974716115,0.16903085094570333,0.21081851067789195,0.22360679774997896,0.2,0.282842712474619,0.21081851067789195,0.19069251784911848,0.21081851067789195,0.149071198499986,0.1632993161855452,0.19069251784911848,0.16903085094570333,0.23904572186687872,0.21081851067789195,0.17541160386140586,0.149071198499986,0.149071198499986,0.23717082451262844,0.21764287503300347,0.19069251784911848,0.23008949665421113,0.1632993161855452,0.19069251784911848,0.1825741858350554,0.2,0.21081851067789195,0.15811388300841897,0.17541160386140586,0.21081851067789195,0.2,0.21081851067789195,0.1825741858350554,0.1825741858350554,0.2860387767736777,0.2,0.1632993161855452,0.1632993161855452,0.19069251784911848,0.2,0.19069251784911848
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.1873171623163388,0.1873171623163388,0.14509525002200233,0.22941573387056172,0.29019050004400465,0.3468439878096479,0.30588764516074896,0.29019050004400465,0.9999999999999994,0.1873171623163388,0.12262786789699316,0.15294382258037448,0.16222142113076252,0.14509525002200233,0.2051956704170308,0.15294382258037448,0.13834289277321493,0.15294382258037448,0.10814761408717502,0.11846977555181845,0.13834289277321493,0.12262786789699316,0.17342199390482396,0.15294382258037448,0.2545139051903111,0.10814761408717502,0.10814761408717502,0.11470786693528087,0.10526315789473682,0.13834289277321493,0.11128297681493143,0.11846977555181845,0.13834289277321493,0.13245323570650439,0.14509525002200233,0.15294382258037448,0.11470786693528087,0.12725695259515554,0.15294382258037448,0.14509525002200233,0.15294382258037448,0.13245323570650439,0.13245323570650439,0.13834289277321493,0.14509525002200233,0.17770466332772766,0.17770466332772766,0.13834289277321493,0.14509525002200233,0.13834289277321493
The cyber-attacker changed a device’s serial number.,0.3333333333333334,0.3333333333333334,0.25819888974716115,0.2721655269759087,0.25819888974716115,0.3086066999241838,0.2721655269759087,0.25819888974716115,0.1873171623163388,1.0000000000000002,0.32732683535398865,0.408248290463863,0.2886751345948129,0.25819888974716115,0.36514837167011077,0.2721655269759087,0.2461829819586655,0.2721655269759087,0.1924500897298753,0.21081851067789195,0.2461829819586655,0.21821789023599242,0.3086066999241838,0.2721655269759087,0.22645540682891918,0.1924500897298753,0.1924500897298753,0.20412414523193154,0.1873171623163388,0.2461829819586655,0.19802950859533489,0.21081851067789195,0.2461829819586655,0.2357022603955159,0.25819888974716115,0.2721655269759087,0.20412414523193154,0.22645540682891918,0.2721655269759087,0.25819888974716115,0.2721655269759087,0.2357022603955159,0.2357022603955159,0.2461829819586655,0.25819888974716115,0.21081851067789195,0.21081851067789195,0.2461829819586655,0.25819888974716115,0.2461829819586655
