,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0000000000000002,0.6703607413111563,0.4399557126629869,0.09139628016908853,0.08870151391474052,0.12300097667571742,0.10294724911825155,0.030011293402454377,0.018402150998580852,0.03666324314584614,0.022243539223731058,0.03115176795658484,0.08919033663848493,0.030589294993510405,0.041819563113913195,0.029123747548470285,0.023711546137134373,0.02719007665065657,0.019607486243491727,0.02121215400096266,0.024863605899296606,0.06197094654544392,0.09897651560964854,0.08303588511451648,0.02385163749169486,0.02166833556241103,0.020283947265992093,0.020919215912314295,0.01997351252937812,0.07849719193634959,0.10491381462440255,0.06460488436220953,0.02422982591996005,0.2436338426288713,0.032706768689216785,0.030994938024609443,0.020773198406058416,0.02312531544331575,0.030271870068073047,0.0312665859463347,0.09390887679695814,0.07200192004188949,0.23285391790161072,0.024365446985493793,0.07699986221655095,0.021465915836578007,0.02129218070551948,0.026808280376000103,0.025130710025993208,0.0730325440718968
The cyber-attacker accessed your computer programs.,0.6703607413111563,1.0,0.41495126516975905,0.08620186304302907,0.08366025116166446,0.11601033790371981,0.0970963441042703,0.02830563124490818,0.01735628295967909,0.0345795240082474,0.020979349686977875,0.0293812880565129,0.08412129212970583,0.02885078268760022,0.03944278963427759,0.027468528181107326,0.022363923880383742,0.025644755554964885,0.018493114168898088,0.020006582222555892,0.02345050746618794,0.05844888913284212,0.09335128330468725,0.07831662276687633,0.022496053281459958,0.020436837156454477,0.019131129198696268,0.01973029298024717,0.018838337713092162,0.07403588172342414,0.09895114180624186,0.06093312970067078,0.02285274774470793,0.0721056662309238,0.03084791186153166,0.029233371398502534,0.0195925742344419,0.021811011027840055,0.028551398293636128,0.029489580479453773,0.08857165872833801,0.06790976217854082,0.0689152488160395,0.02298066092120987,0.07262365125630285,0.020245921755398938,0.020082060688563805,0.025284658293704503,0.02370243099420386,0.06888181171183891
The cyber-attacker accessed your information stored in an Internet site.,0.4399557126629869,0.41495126516975905,1.0000000000000002,0.022401598744922775,0.021741100612727673,0.03014803796856217,0.025232788056298364,0.021142509537078392,0.012964041495073774,0.02582870912880691,0.05685780142201202,0.15008389540527242,0.021860913043763856,0.6726548632550485,0.029461259803619542,0.07444463932291327,0.01670443134924131,0.019155004324251663,0.013813182235833077,0.014943646788333731,0.07374956297946518,0.015189330197965948,0.02425954517794292,0.020352432028125665,0.06096834026510314,0.15340118181444853,0.014289738958260315,0.014737276264745598,0.09622897068034406,0.01923997993253151,0.015565101091839388,0.01583491903354109,0.017069551742565334,0.018738367653773198,0.7192178513701296,0.19974049437528538,0.014634409104800307,0.11141381860077992,0.021326081919784575,0.1506370688620174,0.02301744636324212,0.01764796246256799,0.017909262014590244,0.017165094764754488,0.018872978348772076,0.015122418224729246,0.015000024410638246,0.12915771437287987,0.017704211187201287,0.0179005725899647
The cyber-attacker caused a program on your computer to crash.,0.09139628016908853,0.08620186304302907,0.022401598744922775,1.0000000000000002,0.15635501388213502,0.5972692149621479,0.31806252147401265,0.11318300179945226,0.06940089724409655,0.025334137640772844,0.015370186485419464,0.021525732844366558,0.06163012518117195,0.021137066533286123,0.02889713176192103,0.02012437977930659,0.01638457272107847,0.018788221805438973,0.013548685622440874,0.014657503892383935,0.017180640883104142,0.04282164791766731,0.06839233124260667,0.05737742660261355,0.016481375222826593,0.014972723318579871,0.014016117174648875,0.014455084978472784,0.013801608154959314,0.05424120984111454,0.07249497840493893,0.04464168721211082,0.01674270174153375,0.052827068196143,0.022600231421464306,0.02141736406021256,0.014354187532310334,0.015979489923919284,0.02091772732426819,0.021605071563649752,0.06489061540465667,0.04975300590525681,0.05048965967944624,0.016836415293484196,0.18920685747222685,0.01483285219002036,0.014712801988630222,0.01852440228095217,0.017365208644423882,0.14736900037777712
The cyber-attacker caused your computer program to run very slowly.,0.08870151391474052,0.08366025116166446,0.021741100612727673,0.15635501388213502,1.0,0.35190805748149423,0.7290520743338247,0.5731503117451466,0.12819531691538733,0.02458717530192207,0.014917005461122668,0.020891059109704773,0.059812996723840745,0.020513852399139415,0.028045116610151095,0.019531024126115563,0.01590148310759542,0.01823426199430843,0.013149210493490578,0.014225335900545574,0.016674079662076246,0.041559076491887004,0.06637582306582092,0.05568568649367258,0.015995431443784895,0.014531261264982583,0.013602860097781473,0.01402888519078278,0.013394675751989398,0.052641939262438604,0.1521340047542251,0.043325452984483655,0.016249052901819168,0.05126949276279123,0.021933876720131328,0.020785885516230555,0.013930962647237434,0.01550834394151161,0.020300980279346813,0.02096805857291549,0.06297735328618934,0.048286067413692145,0.04900100137906495,0.016340003364102247,0.05163779709860938,0.014395514155436781,0.014279003564531177,0.017978221035322428,0.016853205550117063,0.0489772265017019
The cyber-attacker caused your computer to crash.,0.12300097667571742,0.11601033790371981,0.03014803796856217,0.5972692149621479,0.35190805748149423,1.0,0.5922568182079199,0.2899117455010006,0.17776640431415897,0.034094644413176355,0.020685173903105036,0.02896929895417274,0.08294172996872937,0.02844623241606641,0.03888971655375226,0.027083360102493046,0.022050333376571894,0.02528516070668931,0.018233800775582454,0.019726046739056615,0.02312168071421461,0.05762930949697651,0.0920422967368749,0.07721845460454192,0.022180610038134527,0.020150268569721148,0.018862869456980236,0.019453631668523687,0.01857418354023665,0.07299773879403562,0.09756363313031602,0.06007871564775824,0.02253230287478803,0.07109458909070522,0.030415357526525792,0.028823456407108008,0.019317844036914316,0.02150517355614013,0.028151046037774286,0.029076072883505305,0.0873296928178551,0.06695752067346257,0.0679489082171298,0.02265842243234913,0.07160531084752976,0.019962030214837057,0.019800466833988457,0.02493011278659928,0.02337007173038265,0.19832897952362608
The cyber-attacker caused your computer to run very slowly.,0.10294724911825155,0.0970963441042703,0.025232788056298364,0.31806252147401265,0.7290520743338247,0.5922568182079199,1.0000000000000002,0.6652000098007995,0.1487838780177622,0.028535951070170616,0.01731272229221012,0.02424622728060895,0.06941914745848687,0.023808440015343404,0.03254924835883603,0.02266776650710204,0.018455310068335305,0.021162740399446402,0.015261014030525434,0.01650996847868802,0.019351987999204564,0.0482335916481328,0.07703598384075047,0.06462897854590396,0.018564346795478873,0.01686502639500003,0.015787521152717518,0.016281967182375907,0.015545901762439947,0.061096396173431516,0.1765671925492107,0.05028365362334056,0.018858700637591253,0.05950353055631841,0.02545652459784157,0.024124162485430155,0.016168317977985264,0.017999031546326382,0.023561379980182293,0.02433559309378712,0.07309170939058868,0.05604095794527337,0.05687071249835888,0.018964258023083862,0.05993098569814662,0.01670747788329225,0.016572255334121298,0.02086557847710826,0.01955988205428677,0.16599398975681556
The cyber-attacker caused your Internet connection to run very slowly.,0.030011293402454377,0.02830563124490818,0.021142509537078392,0.11318300179945226,0.5731503117451466,0.2899117455010006,0.6652000098007995,1.0,0.12466575445153215,0.023910224122066025,0.014506300110759112,0.020315871966851015,0.02023714494528961,0.019949050773313586,0.027272958989549675,0.018993282410623046,0.015463672435203695,0.017732223634095233,0.012787177301452936,0.013833674076709712,0.016214997324977772,0.014061108802854348,0.02245761332520745,0.018840709723230296,0.015555034120578345,0.01413117649162688,0.013228336709896,0.09939197793061484,0.1087239591150174,0.017810887489448885,0.09393393983589235,0.014658745087049797,0.015801672696555417,0.01734653358203216,0.021329977998859787,0.02021359408576823,0.01354740571217785,0.015081357449574126,0.01974203959650783,0.020390751427384373,0.021307774171684852,0.01633712066961902,0.016579011614330594,0.11576580973219892,0.017471145767279175,0.013999166865742405,0.01388586412531213,0.017483232172546357,0.01638919139471238,0.016570967616109374
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.018402150998580852,0.01735628295967909,0.012964041495073774,0.06940089724409655,0.12819531691538733,0.17776640431415897,0.1487838780177622,0.12466575445153215,1.0,0.014661132687742986,0.008894889050236266,0.012457168659423841,0.012408895280498992,0.012232243365387585,0.016723074969596328,0.011646190858618273,0.009481925064980327,0.010872942144790676,0.007840767286881356,0.008482452115974,0.009942618107602875,0.008621909223560447,0.013770429215970116,0.011552637222191823,0.1496839848177224,0.008664872922979287,0.008111274856806681,0.008365310155294667,0.007987136224381915,0.01092117679182625,0.008835207801812885,0.008988364377509127,0.009689178106811755,0.010636446953412662,0.013078992320248499,0.012394454500914885,0.008306919738892202,0.009247499377282368,0.012105309451447643,0.01250308281317086,0.013065377506153678,0.010017500992469015,0.010165822280394837,0.009743411127855027,0.010712855931140733,0.0625373148920902,0.06203116697454775,0.010720267003092018,0.010049429417976171,0.010160889908173681
The cyber-attacker changed a device’s serial number.,0.03666324314584614,0.0345795240082474,0.02582870912880691,0.025334137640772844,0.02458717530192207,0.034094644413176355,0.028535951070170616,0.023910224122066025,0.014661132687742986,1.0000000000000004,0.12910884240679746,0.1808151418416769,0.024722672087375126,0.02437072235517217,0.033317961786304584,0.023203109636769147,0.018891167895257247,0.021662539427913654,0.015621432380980712,0.01689988330304078,0.01980902260901178,0.017177728531256365,0.027435303329850433,0.02301671948489258,0.019002779735513058,0.01726332659848011,0.016160373986759787,0.016666497315321264,0.01591304828745795,0.02175863898673456,0.017602690680395102,0.017907829833669602,0.01930408531268132,0.02119136186258533,0.026057729641328603,0.024693901221776397,0.016550164065250884,0.01842411347382764,0.02411782751963947,0.024910325172708588,0.026030604375397334,0.019958214375535237,0.02025372001742182,0.019412135639906472,0.021343594116803102,0.017102057274079752,0.01696364118298432,0.021358359452276238,0.02002182648412641,0.02024389308131832
