,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0000000000000002,0.6084146833476649,0.3658511589949356,0.19601588438995957,0.18101624791888596,0.24965500932818185,0.20030366176838807,0.09996536203923201,0.05914005200789671,0.06790409637830427,0.07776629200730677,0.09098066269214382,0.16722038224905844,0.10394851869190996,0.1409850405525372,0.08213465856351869,0.07645706250611374,0.05202369935537797,0.07540503065224874,0.09147203982553954,0.08397097153568697,0.1447536617290652,0.1897754557397036,0.16874539202340755,0.04881235434694715,0.079662891128366,0.06582600847254516,0.07199523807802931,0.035910015653806464,0.2144501994868775,0.20448409808110474,0.14982663387496867,0.09446615470107557,0.3633533119897763,0.10998436589690314,0.10262443901988909,0.07916716020303048,0.04828153406088047,0.3369440888239632,0.06356725867271298,0.19183661403024735,0.14330511490760003,0.35189560580852286,0.08919932175734742,0.14896809439387354,0.04523047136401734,0.0438018851449937,0.05669486011254117,0.0767252644577629,0.1525654196215825
The cyber-attacker accessed your computer programs.,0.6084146833476649,1.0000000000000002,0.3658511589949356,0.48613728047173993,0.4489368132503908,0.24965500932818185,0.20030366176838807,0.09996536203923201,0.05914005200789671,0.06790409637830427,0.07776629200730677,0.09098066269214382,0.16722038224905844,0.10394851869190996,0.1409850405525372,0.08213465856351869,0.07645706250611374,0.05202369935537797,0.07540503065224874,0.09147203982553954,0.08397097153568697,0.1447536617290652,0.1897754557397036,0.16874539202340755,0.04881235434694715,0.079662891128366,0.06582600847254516,0.07199523807802931,0.035910015653806464,0.2144501994868775,0.20448409808110474,0.14982663387496867,0.09446615470107557,0.14650804136350784,0.10998436589690314,0.10262443901988909,0.07916716020303048,0.04828153406088047,0.3369440888239632,0.06356725867271298,0.19183661403024735,0.14330511490760003,0.1418881685407132,0.08919932175734742,0.14896809439387354,0.04523047136401734,0.0438018851449937,0.05669486011254117,0.0767252644577629,0.1525654196215825
The cyber-attacker accessed your information stored in an Internet site.,0.3658511589949356,0.3658511589949356,1.0,0.08148624686432966,0.0752507109833421,0.10378469981831125,0.08326872937611846,0.12497614761370877,0.10386517694393205,0.05052955995987848,0.1434479518186831,0.30152822597465495,0.0695155976318025,0.7651712901716086,0.10491137412913802,0.17410257699660336,0.05689408931584294,0.09249095750488481,0.16066886839980724,0.15667076022927554,0.18953721346755903,0.13840991606343447,0.07889202287520464,0.07014956320724487,0.12585051038213346,0.3374523897612782,0.08981101085544776,0.17444326686344994,0.14977677008178414,0.10257338274304452,0.07060204741218185,0.07067060221742073,0.07029521756028048,0.18747046142678314,0.8096015240146884,0.3157324892047367,0.09200045826295969,0.2013770279564272,0.25073062521154243,0.2651321229915146,0.0797488720729746,0.059573722847126434,0.18155891089507223,0.11151650307247363,0.06192789401974469,0.11661551634093766,0.1591210263688831,0.2364680959696236,0.0570936667687511,0.210970939416065
The cyber-attacker caused a program on your computer to crash.,0.19601588438995957,0.48613728047173993,0.08148624686432966,1.0,0.5357639766558693,0.785147011139234,0.3732002568992793,0.2748839564549816,0.19909673915708537,0.05030942275712604,0.10312964012929078,0.0674066052893531,0.12389180259917305,0.07701435186934023,0.10445431698365645,0.060852694919367296,0.05664622438915287,0.16522464557992794,0.055866785178369585,0.11436485064953202,0.06221319966883814,0.10724644832909297,0.14060261664545892,0.1831617791939545,0.03616455415193212,0.05902138871716702,0.04876978953095282,0.09774267814179133,0.061633114477394356,0.15888387183932004,0.19428280389095534,0.11100495943424811,0.0699889692459694,0.15902462995042377,0.08148624686432966,0.07603335532367235,0.058654106947337685,0.15333971732326526,0.07504775788277922,0.04709630582903822,0.14212970689978782,0.10617323539627399,0.1540100685705463,0.1210994064294251,0.23849865426396366,0.1877689293885138,0.07517809592435845,0.042004618832823123,0.056844932362448496,0.1655995068445189
The cyber-attacker caused your computer program to run very slowly.,0.18101624791888596,0.4489368132503908,0.0752507109833421,0.5357639766558693,1.0,0.42955583439171807,0.9037091300317605,0.7532865683198915,0.1838613478048659,0.0464596171417547,0.09523789647725826,0.06224847956787851,0.11441128520887531,0.07112101682309832,0.09646120567298255,0.05619609117056209,0.17400861108961393,0.03559433499980799,0.05159171598644634,0.10561335997238426,0.057452486619285474,0.09903967599144985,0.12984334505312245,0.16914577170632308,0.03339715003513993,0.05450492119959488,0.04503780058520117,0.09026315858959365,0.05691679102933234,0.1467256718744374,0.40024700757754017,0.10251057622044935,0.06463323443426318,0.14685565881511542,0.0752507109833421,0.07021508864043681,0.0541657447695294,0.03303396565338569,0.0693049116348121,0.0434923761334188,0.1312535784580958,0.09804858805527815,0.14222482448875778,0.11183257033112973,0.10192316812991911,0.07168956180923,0.06942527587631832,0.038790318040011304,0.05249501284795037,0.15292740932452792
The cyber-attacker caused your computer to crash.,0.24965500932818185,0.24965500932818185,0.10378469981831125,0.785147011139234,0.42955583439171807,1.0000000000000002,0.47532532328916666,0.350105079119043,0.2535789302288748,0.06407643669703078,0.13135073899046187,0.08585220899146946,0.15779440135600636,0.0980890849442244,0.13303790946372598,0.0775048418398373,0.07214728399329985,0.04909119561681269,0.07115455371511624,0.14566042922788525,0.07923764439804455,0.13659409869430736,0.17907807665401043,0.2332834190226237,0.04606086967007366,0.07517240450489401,0.06211548772272437,0.12448965194424988,0.07849882073417797,0.20236193933768207,0.24744767684851088,0.14138111444018867,0.08914122865272923,0.20254121545935957,0.10378469981831125,0.09683964180586939,0.07470461724388615,0.04555997098690499,0.09558433875190622,0.05998406051460648,0.18102305031201765,0.13522720444699723,0.19615443526567147,0.15423787483278079,0.14057096963823426,0.09887321402350904,0.09575034338508964,0.053499049524337094,0.07240036777312256,0.21091528655791106
The cyber-attacker caused your computer to run very slowly.,0.20030366176838807,0.20030366176838807,0.08326872937611846,0.3732002568992793,0.9037091300317605,0.47532532328916666,1.0,0.8335498041205113,0.2034519091318732,0.051409923389976034,0.10538556412936889,0.06888110067637672,0.12660189147901424,0.07869901327720215,0.10673921781623748,0.06218382586063626,0.19254935610034005,0.03938693747462421,0.057088851126947414,0.11686654086218264,0.06357409116500387,0.1095924260364274,0.14367824860700384,0.18716837761767277,0.036955640842055236,0.060312460490112935,0.04983661123753208,0.09988076427469687,0.06298131681742779,0.1623593997211036,0.44289361950285233,0.11343315322801559,0.07151995292112592,0.16250323686555457,0.08326872937611846,0.07769655778288875,0.05993714456290353,0.03655375889831359,0.07668940075041226,0.048126520678053,0.1452387434145796,0.10849573695446928,0.1573789837486309,0.12374841264157575,0.11278315637503525,0.07932813714818894,0.07682258989004394,0.0429234548495134,0.058088394930905986,0.1692219368406219
The cyber-attacker caused your Internet connection to run very slowly.,0.09996536203923201,0.09996536203923201,0.12497614761370877,0.2748839564549816,0.7532865683198915,0.350105079119043,0.8335498041205113,1.0000000000000002,0.23615641722184305,0.04592657978141383,0.12808917484683072,0.11117411075745101,0.06318308814136997,0.11811756434950087,0.0953544934439441,0.10036470781779139,0.17201218717486694,0.03518595646510125,0.07964597491559725,0.10440164386106454,0.0954169117431448,0.12580149238729693,0.07170536979882944,0.11683438084067625,0.06852388926532614,0.12342317055739552,0.0445210759151238,0.12234274178613971,0.20134409519143354,0.09322948091648611,0.3215237401956396,0.06423287781480891,0.06389168874808125,0.10143788873660749,0.12497614761370877,0.11661300163103315,0.0836196948814793,0.06777871171777977,0.06850976717540423,0.08923715834783853,0.07248416448996209,0.05414686645573093,0.09823922372808974,0.15157793599391153,0.056286584875289807,0.10377122639098729,0.0686287504619754,0.07958952950008448,0.051892730590777335,0.10563184052286874
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.05914005200789671,0.05914005200789671,0.10386517694393205,0.19909673915708537,0.1838613478048659,0.2535789302288748,0.2034519091318732,0.23615641722184305,1.0000000000000004,0.027170414445672506,0.1204399380417338,0.0951383940774157,0.03737945866923056,0.0981651455545543,0.05641223706315728,0.08588813581487333,0.030592706278225794,0.02081620326125579,0.0640662265179547,0.11663249619179968,0.18334805924493927,0.11379958201013968,0.042421286860182296,0.10051936023533697,0.37888340786115693,0.14388279597802933,0.07545891459501768,0.14425641699053257,0.12777383086470656,0.05515506809154914,0.08417464162182951,0.038000519951039015,0.03779867064304691,0.08727286956167225,0.10386517694393205,0.09691473356826141,0.06726263718055132,0.09090111187207867,0.08035683322186868,0.11968001026486588,0.08501850403656713,0.09498686892483647,0.08452087346300828,0.25418486084846614,0.033299449819079605,0.16093756832947248,0.20399312243074885,0.10674113658367826,0.030700021721182986,0.09088116831225763
The cyber-attacker changed a device’s serial number.,0.06790409637830427,0.06790409637830427,0.05052955995987848,0.05030942275712604,0.0464596171417547,0.06407643669703078,0.051409923389976034,0.04592657978141383,0.027170414445672506,1.0000000000000002,0.1985745954338705,0.27386928743797134,0.042918771253453676,0.047756541260663914,0.06477204284400857,0.059681182222785865,0.20716923734631626,0.03780177498066326,0.03815017821874434,0.1917202068319217,0.0385783579920718,0.04431853320733042,0.048707754789611625,0.04331018015220315,0.03546832805362483,0.05788513162380988,0.04783089228538594,0.03307640744776017,0.02609315269997152,0.07425012784296739,0.03187002578240827,0.031900971675488624,0.04779390189635883,0.03760274333488033,0.05052955995987848,0.047148226045738276,0.04005357792036687,0.03508262020782186,0.046537057819168344,0.046189625848572134,0.04923677152787772,0.03678068046159973,0.03641700710921943,0.21269905557767552,0.03823414036831359,0.032865638583142516,0.03182759062690033,0.04119596205364646,0.03524949950150347,0.03915742960193324
