,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0,0.6831050914715564,0.42637971839114747,0.0930516139302358,0.09187728037987818,0.12522872236699406,0.10481178952150873,0.03055484623734952,0.01873544357645519,0.03732727349872472,0.022646405526126793,0.03171597662156069,0.0908057172112241,0.03114331636767106,0.04257698272191932,0.02965122549920222,0.02414100040789007,0.027682532708657455,0.020051706666487087,0.02170928069745162,0.025785490352192336,0.06309334014655264,0.10076913963708442,0.08453979866288529,0.024283629042396962,0.022060784000552804,0.0206513222035345,0.021298096587680056,0.02033526499411092,0.07991890244499503,0.10681397269470064,0.06577498281722247,0.02466866707189564,0.24804644371411774,0.03329914092065915,0.03155630624705659,0.021149434469330812,0.023544152132507917,0.20823088346186047,0.031832874149935846,0.0956097177277469,0.07413788087930448,0.23707127719681223,0.02480674445324536,0.07839445367360953,0.02185469812763509,0.02167781637367893,0.027293821488861534,0.025585867639308174,0.07522383548681896
The cyber-attacker accessed your computer programs.,0.6831050914715564,1.0000000000000002,0.4159796829647229,0.09078194668383861,0.3187538142742334,0.12217420759331558,0.10225527410317761,0.029809568097675255,0.01827845824502307,0.03641680578646255,0.022094026016515982,0.030942376785028845,0.0885908307258114,0.030383684566369012,0.041538466794545835,0.02892798801315999,0.023552165506411323,0.027007314567537792,0.019562615720795262,0.021179759056066765,0.02515654389535238,0.06155439975048612,0.09831123046150163,0.08247774724929004,0.023691315216410987,0.021522688670863658,0.020147605743169844,0.020778604338229093,0.01983925763911175,0.07796956156216617,0.10420862105120862,0.06417063316838657,0.02406696159575704,0.07593678972008873,0.03248692535245367,0.030786601008414297,0.020633568310030742,0.022969875248074624,0.20315182254158384,0.0310564230088416,0.09327765452541877,0.07232954770976688,0.07257685881566452,0.024201671064432478,0.076482296363414,0.021321629538869073,0.021149062193943375,0.026628084592468477,0.024961790277306377,0.07338901426941583
The cyber-attacker accessed your information stored in an Internet site.,0.42637971839114747,0.4159796829647229,1.0000000000000002,0.022600231421464306,0.022315011113260192,0.030415357526525792,0.02545652459784157,0.021329977998859787,0.013078992320248499,0.026057729641328603,0.05736195371075349,0.15141467389968163,0.022054751515694734,0.6786192248793413,0.029722489770092567,0.07510473229802873,0.016852547827300987,0.01932484978132883,0.013997860068199143,0.015154992960877113,0.07578953017679796,0.015324012429642778,0.024474652074787374,0.02053289495373683,0.061508940279818465,0.15476137434692766,0.014416444606757938,0.01486795018060001,0.09708222308543879,0.019410578859604528,0.01570311524545922,0.01597532563515311,0.017220905705672914,0.01890451883626109,0.7255950822303366,0.2015115728354994,0.014764170908106824,0.11240171349365674,0.14536352526282267,0.15197275228868418,0.023221539697398375,0.018006493323430624,0.0180680616024834,0.017317295898032305,0.0190403231104747,0.015256507154807915,0.015133028087331126,0.13030294256815259,0.017861192610456503,0.0182702482913072
The cyber-attacker caused a program on your computer to crash.,0.0930516139302358,0.09078194668383861,0.022600231421464306,1.0000000000000002,0.15907191952034022,0.5972692149621479,0.31806252147401265,0.11318300179945226,0.06940089724409655,0.025334137640772844,0.015370186485419464,0.021525732844366558,0.06163012518117195,0.021137066533286123,0.02889713176192103,0.02012437977930659,0.01638457272107847,0.018788221805438973,0.01360915622831498,0.014734156923896478,0.01750069320598996,0.04282164791766731,0.06839233124260667,0.05737742660261355,0.016481375222826593,0.014972723318579871,0.014016117174648875,0.014455084978472784,0.013801608154959314,0.05424120984111454,0.07249497840493893,0.04464168721211082,0.01674270174153375,0.052827068196143,0.022600231421464306,0.02141736406021256,0.014354187532310334,0.015979489923919284,0.021678805633420253,0.021605071563649752,0.06489061540465667,0.050317612366081066,0.05048965967944624,0.016836415293484196,0.18920685747222685,0.01483285219002036,0.014712801988630222,0.01852440228095217,0.017365208644423882,0.1490904383597687
The cyber-attacker caused your computer program to run very slowly.,0.09187728037987818,0.3187538142742334,0.022315011113260192,0.15907191952034022,1.0000000000000002,0.35802299400807114,0.7417204604771428,0.5831096681793018,0.1304229050858663,0.02501441478434563,0.01517621106787739,0.021254072964354945,0.06085233830939075,0.020870311714774444,0.028532443070303375,0.019870405309044346,0.016177795507423022,0.018551109967333407,0.01343740543242926,0.0145482083510438,0.01727983028574316,0.042281228512701156,0.06752920371828904,0.05665330980069383,0.01627337633852235,0.014783763980954488,0.013839230434605073,0.014272658360099265,0.013627428569880763,0.0535566728423671,0.15477756395336326,0.044078298477369944,0.016531404854265838,0.05216037800207209,0.022315011113260192,0.021147071820090988,0.01417303426376031,0.0157778249517316,0.021405213938319786,0.021332410410087245,0.0640716803689874,0.04968259210281427,0.04985246813807045,0.016623935718850315,0.05253508218463461,0.01464565805938125,0.014527122920151403,0.018290619908137518,0.017146055571642185,0.05041033127160908
The cyber-attacker caused your computer to crash.,0.12522872236699406,0.12217420759331558,0.030415357526525792,0.5972692149621479,0.35802299400807114,1.0,0.5922568182079199,0.2899117455010006,0.17776640431415897,0.034094644413176355,0.020685173903105036,0.02896929895417274,0.08294172996872937,0.02844623241606641,0.03888971655375226,0.027083360102493046,0.022050333376571894,0.02528516070668931,0.018315182026208045,0.019829206273818362,0.023552406649990736,0.05762930949697651,0.0920422967368749,0.07721845460454192,0.022180610038134527,0.020150268569721148,0.018862869456980236,0.019453631668523687,0.01857418354023665,0.07299773879403562,0.09756363313031602,0.06007871564775824,0.02253230287478803,0.07109458909070522,0.030415357526525792,0.028823456407108008,0.019317844036914316,0.02150517355614013,0.02917530408393565,0.029076072883505305,0.0873296928178551,0.06771736720102718,0.0679489082171298,0.02265842243234913,0.07160531084752976,0.019962030214837057,0.019800466833988457,0.02493011278659928,0.02337007173038265,0.20064568817609985
The cyber-attacker caused your computer to run very slowly.,0.10481178952150873,0.10225527410317761,0.02545652459784157,0.31806252147401265,0.7417204604771428,0.5922568182079199,1.0000000000000002,0.6652000098007995,0.1487838780177622,0.028535951070170616,0.01731272229221012,0.02424622728060895,0.06941914745848687,0.023808440015343404,0.03254924835883603,0.02266776650710204,0.018455310068335305,0.021162740399446402,0.015329127114731226,0.016596309177852053,0.019712489609927063,0.0482335916481328,0.07703598384075047,0.06462897854590396,0.018564346795478873,0.01686502639500003,0.015787521152717518,0.016281967182375907,0.015545901762439947,0.061096396173431516,0.1765671925492107,0.05028365362334056,0.018858700637591253,0.05950353055631841,0.02545652459784157,0.024124162485430155,0.016168317977985264,0.017999031546326382,0.024418645923017398,0.02433559309378712,0.07309170939058868,0.056676921267508305,0.05687071249835888,0.018964258023083862,0.05993098569814662,0.01670747788329225,0.016572255334121298,0.02086557847710826,0.01955988205428677,0.1679329888544358
The cyber-attacker caused your Internet connection to run very slowly.,0.03055484623734952,0.029809568097675255,0.021329977998859787,0.11318300179945226,0.5831096681793018,0.2899117455010006,0.6652000098007995,1.0,0.12466575445153215,0.023910224122066025,0.014506300110759112,0.020315871966851015,0.02023714494528961,0.019949050773313586,0.027272958989549675,0.018993282410623046,0.015463672435203695,0.017732223634095233,0.012844249137082344,0.01390601879943479,0.016517061002040607,0.014061108802854348,0.02245761332520745,0.018840709723230296,0.015555034120578345,0.01413117649162688,0.013228336709896,0.09939197793061484,0.1087239591150174,0.017810887489448885,0.09393393983589235,0.014658745087049797,0.015801672696555417,0.01734653358203216,0.021329977998859787,0.02021359408576823,0.01354740571217785,0.015081357449574126,0.020460341249569886,0.020390751427384373,0.021307774171684852,0.016522517385123957,0.016579011614330594,0.11576580973219892,0.017471145767279175,0.013999166865742405,0.01388586412531213,0.017483232172546357,0.01638919139471238,0.01676453541516887
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.01873544357645519,0.01827845824502307,0.013078992320248499,0.06940089724409655,0.1304229050858663,0.17776640431415897,0.1487838780177622,0.12466575445153215,1.0,0.014661132687742986,0.008894889050236266,0.012457168659423841,0.012408895280498992,0.012232243365387585,0.016723074969596328,0.011646190858618273,0.009481925064980327,0.010872942144790676,0.007875762264369819,0.008526812033878388,0.010127835762902004,0.008621909223560447,0.013770429215970116,0.011552637222191823,0.1496839848177224,0.008664872922979287,0.008111274856806681,0.008365310155294667,0.007987136224381915,0.01092117679182625,0.008835207801812885,0.008988364377509127,0.009689178106811755,0.010636446953412662,0.013078992320248499,0.012394454500914885,0.008306919738892202,0.009247499377282368,0.0125457534971247,0.01250308281317086,0.013065377506153678,0.010131181476265952,0.010165822280394837,0.009743411127855027,0.010712855931140733,0.0625373148920902,0.06203116697454775,0.010720267003092018,0.010049429417976171,0.010279580689640118
The cyber-attacker changed a device’s serial number.,0.03732727349872472,0.03641680578646255,0.026057729641328603,0.025334137640772844,0.02501441478434563,0.034094644413176355,0.028535951070170616,0.023910224122066025,0.014661132687742986,1.0000000000000004,0.12910884240679746,0.1808151418416769,0.024722672087375126,0.02437072235517217,0.033317961786304584,0.023203109636769147,0.018891167895257247,0.021662539427913654,0.015691154087353075,0.016988263104738083,0.0201780381622294,0.017177728531256365,0.027435303329850433,0.02301671948489258,0.019002779735513058,0.01726332659848011,0.016160373986759787,0.016666497315321264,0.01591304828745795,0.02175863898673456,0.017602690680395102,0.017907829833669602,0.01930408531268132,0.02119136186258533,0.026057729641328603,0.024693901221776397,0.016550164065250884,0.01842411347382764,0.024995339455067208,0.024910325172708588,0.026030604375397334,0.020184703942907327,0.02025372001742182,0.019412135639906472,0.021343594116803102,0.017102057274079752,0.01696364118298432,0.021358359452276238,0.02002182648412641,0.02048036483836509
