,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,0.9999999999999999,0.7999999999999999,0.44721359549995787,0.15811388300841894,0.14907119849998596,0.18257418583505539,0.15811388300841894,0.14907119849998596,0.11180339887498948,0.19999999999999998,0.12403473458920845,0.15811388300841894,0.1690308509457033,0.14907119849998596,0.22360679774997896,0.15811388300841894,0.1414213562373095,0.15811388300841894,0.10846522890932808,0.11952286093343936,0.1414213562373095,0.12403473458920845,0.18257418583505539,0.15811388300841894,0.12909944487358058,0.11547005383792514,0.10846522890932808,0.11547005383792514,0.10540925533894599,0.1414213562373095,0.11952286093343936,0.11952286093343936,0.1414213562373095,0.26967994498529685,0.14907119849998596,0.15811388300841894,0.11547005383792514,0.12909944487358058,0.15811388300841894,0.14907119849998596,0.15811388300841894,0.13483997249264842,0.26967994498529685,0.1414213562373095,0.14907119849998596,0.11952286093343936,0.11952286093343936,0.1414213562373095,0.14907119849998596,0.1414213562373095
The cyber-attacker accessed your computer programs.,0.7999999999999999,0.9999999999999999,0.44721359549995787,0.15811388300841894,0.2981423969999719,0.18257418583505539,0.15811388300841894,0.14907119849998596,0.11180339887498948,0.19999999999999998,0.12403473458920845,0.15811388300841894,0.1690308509457033,0.14907119849998596,0.22360679774997896,0.15811388300841894,0.1414213562373095,0.15811388300841894,0.10846522890932808,0.11952286093343936,0.1414213562373095,0.12403473458920845,0.18257418583505539,0.15811388300841894,0.12909944487358058,0.11547005383792514,0.10846522890932808,0.11547005383792514,0.10540925533894599,0.1414213562373095,0.11952286093343936,0.11952286093343936,0.1414213562373095,0.13483997249264842,0.14907119849998596,0.15811388300841894,0.11547005383792514,0.12909944487358058,0.15811388300841894,0.14907119849998596,0.15811388300841894,0.13483997249264842,0.13483997249264842,0.1414213562373095,0.14907119849998596,0.11952286093343936,0.11952286093343936,0.1414213562373095,0.14907119849998596,0.1414213562373095
The cyber-attacker accessed your information stored in an Internet site.,0.44721359549995787,0.44721359549995787,0.9999999999999997,0.1178511301977579,0.1111111111111111,0.13608276348795434,0.1178511301977579,0.1111111111111111,0.08333333333333333,0.14907119849998596,0.09245003270420485,0.2357022603955158,0.1259881576697424,0.6666666666666665,0.16666666666666666,0.1178511301977579,0.10540925533894598,0.1178511301977579,0.08084520834544431,0.0890870806374748,0.10540925533894598,0.09245003270420485,0.13608276348795434,0.1178511301977579,0.09622504486493763,0.17213259316477406,0.08084520834544431,0.08606629658238703,0.15713484026367724,0.10540925533894598,0.0890870806374748,0.0890870806374748,0.10540925533894598,0.10050378152592121,0.6666666666666665,0.1178511301977579,0.08606629658238703,0.19245008972987526,0.1178511301977579,0.2222222222222222,0.1178511301977579,0.10050378152592121,0.10050378152592121,0.10540925533894598,0.1111111111111111,0.0890870806374748,0.0890870806374748,0.21081851067789195,0.1111111111111111,0.10540925533894598
The cyber-attacker caused a program on your computer to crash.,0.15811388300841894,0.15811388300841894,0.1178511301977579,0.9999999999999999,0.2357022603955158,0.5773502691896258,0.37499999999999994,0.2357022603955158,0.17677669529663687,0.15811388300841894,0.09805806756909201,0.12499999999999997,0.13363062095621217,0.1178511301977579,0.17677669529663687,0.12499999999999997,0.11180339887498948,0.12499999999999997,0.08574929257125441,0.0944911182523068,0.11180339887498948,0.09805806756909201,0.14433756729740646,0.12499999999999997,0.10206207261596575,0.09128709291752767,0.08574929257125441,0.09128709291752767,0.08333333333333333,0.11180339887498948,0.0944911182523068,0.0944911182523068,0.11180339887498948,0.10660035817780521,0.1178511301977579,0.12499999999999997,0.09128709291752767,0.10206207261596575,0.12499999999999997,0.1178511301977579,0.12499999999999997,0.10660035817780521,0.10660035817780521,0.11180339887498948,0.2357022603955158,0.0944911182523068,0.0944911182523068,0.11180339887498948,0.1178511301977579,0.22360679774997896
The cyber-attacker caused your computer program to run very slowly.,0.14907119849998596,0.2981423969999719,0.1111111111111111,0.2357022603955158,0.9999999999999997,0.5443310539518174,0.7071067811865475,0.5555555555555555,0.25,0.14907119849998596,0.09245003270420485,0.1178511301977579,0.1259881576697424,0.1111111111111111,0.16666666666666666,0.1178511301977579,0.10540925533894598,0.1178511301977579,0.08084520834544431,0.0890870806374748,0.10540925533894598,0.09245003270420485,0.13608276348795434,0.1178511301977579,0.09622504486493763,0.08606629658238703,0.08084520834544431,0.08606629658238703,0.07856742013183862,0.10540925533894598,0.0890870806374748,0.0890870806374748,0.10540925533894598,0.10050378152592121,0.1111111111111111,0.1178511301977579,0.08606629658238703,0.09622504486493763,0.1178511301977579,0.1111111111111111,0.1178511301977579,0.10050378152592121,0.10050378152592121,0.10540925533894598,0.1111111111111111,0.0890870806374748,0.0890870806374748,0.10540925533894598,0.1111111111111111,0.10540925533894598
The cyber-attacker caused your computer to crash.,0.18257418583505539,0.18257418583505539,0.13608276348795434,0.5773502691896258,0.5443310539518174,1.0000000000000002,0.7216878364870323,0.408248290463863,0.3061862178478973,0.18257418583505539,0.11322770341445959,0.14433756729740646,0.1543033499620919,0.13608276348795434,0.20412414523193154,0.14433756729740646,0.12909944487358058,0.14433756729740646,0.09901475429766744,0.10910894511799621,0.12909944487358058,0.11322770341445959,0.1666666666666667,0.14433756729740646,0.11785113019775795,0.10540925533894598,0.09901475429766744,0.10540925533894598,0.09622504486493764,0.12909944487358058,0.10910894511799621,0.10910894511799621,0.12909944487358058,0.12309149097933275,0.13608276348795434,0.14433756729740646,0.10540925533894598,0.11785113019775795,0.14433756729740646,0.13608276348795434,0.14433756729740646,0.12309149097933275,0.12309149097933275,0.12909944487358058,0.13608276348795434,0.10910894511799621,0.10910894511799621,0.12909944487358058,0.13608276348795434,0.25819888974716115
The cyber-attacker caused your computer to run very slowly.,0.15811388300841894,0.15811388300841894,0.1178511301977579,0.37499999999999994,0.7071067811865475,0.7216878364870323,0.9999999999999999,0.5892556509887895,0.2651650429449553,0.15811388300841894,0.09805806756909201,0.12499999999999997,0.13363062095621217,0.1178511301977579,0.17677669529663687,0.12499999999999997,0.11180339887498948,0.12499999999999997,0.08574929257125441,0.0944911182523068,0.11180339887498948,0.09805806756909201,0.14433756729740646,0.12499999999999997,0.10206207261596575,0.09128709291752767,0.08574929257125441,0.09128709291752767,0.08333333333333333,0.11180339887498948,0.0944911182523068,0.0944911182523068,0.11180339887498948,0.10660035817780521,0.1178511301977579,0.12499999999999997,0.09128709291752767,0.10206207261596575,0.12499999999999997,0.1178511301977579,0.12499999999999997,0.10660035817780521,0.10660035817780521,0.11180339887498948,0.1178511301977579,0.0944911182523068,0.0944911182523068,0.11180339887498948,0.1178511301977579,0.22360679774997896
The cyber-attacker caused your Internet connection to run very slowly.,0.14907119849998596,0.14907119849998596,0.1111111111111111,0.2357022603955158,0.5555555555555555,0.408248290463863,0.5892556509887895,0.9999999999999997,0.25,0.14907119849998596,0.09245003270420485,0.1178511301977579,0.1259881576697424,0.1111111111111111,0.16666666666666666,0.1178511301977579,0.10540925533894598,0.1178511301977579,0.08084520834544431,0.0890870806374748,0.10540925533894598,0.09245003270420485,0.13608276348795434,0.1178511301977579,0.09622504486493763,0.08606629658238703,0.08084520834544431,0.08606629658238703,0.07856742013183862,0.10540925533894598,0.0890870806374748,0.0890870806374748,0.10540925533894598,0.10050378152592121,0.1111111111111111,0.1178511301977579,0.08606629658238703,0.09622504486493763,0.1178511301977579,0.1111111111111111,0.1178511301977579,0.10050378152592121,0.10050378152592121,0.10540925533894598,0.1111111111111111,0.0890870806374748,0.0890870806374748,0.10540925533894598,0.1111111111111111,0.10540925533894598
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.11180339887498948,0.11180339887498948,0.08333333333333333,0.17677669529663687,0.25,0.3061862178478973,0.2651650429449553,0.25,1.0,0.11180339887498948,0.06933752452815364,0.08838834764831843,0.0944911182523068,0.08333333333333333,0.125,0.08838834764831843,0.07905694150420949,0.08838834764831843,0.06063390625908324,0.0668153104781061,0.07905694150420949,0.06933752452815364,0.10206207261596577,0.08838834764831843,0.07216878364870323,0.06454972243679027,0.06063390625908324,0.06454972243679027,0.05892556509887897,0.07905694150420949,0.0668153104781061,0.0668153104781061,0.07905694150420949,0.07537783614444091,0.08333333333333333,0.08838834764831843,0.06454972243679027,0.07216878364870323,0.08838834764831843,0.08333333333333333,0.08838834764831843,0.07537783614444091,0.07537783614444091,0.07905694150420949,0.08333333333333333,0.0668153104781061,0.0668153104781061,0.07905694150420949,0.08333333333333333,0.07905694150420949
The cyber-attacker changed a device’s serial number.,0.19999999999999998,0.19999999999999998,0.14907119849998596,0.15811388300841894,0.14907119849998596,0.18257418583505539,0.15811388300841894,0.14907119849998596,0.11180339887498948,0.9999999999999999,0.2480694691784169,0.3162277660168379,0.1690308509457033,0.14907119849998596,0.22360679774997896,0.15811388300841894,0.1414213562373095,0.15811388300841894,0.10846522890932808,0.11952286093343936,0.1414213562373095,0.12403473458920845,0.18257418583505539,0.15811388300841894,0.12909944487358058,0.11547005383792514,0.10846522890932808,0.11547005383792514,0.10540925533894599,0.1414213562373095,0.11952286093343936,0.11952286093343936,0.1414213562373095,0.13483997249264842,0.14907119849998596,0.15811388300841894,0.11547005383792514,0.12909944487358058,0.15811388300841894,0.14907119849998596,0.15811388300841894,0.13483997249264842,0.13483997249264842,0.1414213562373095,0.14907119849998596,0.11952286093343936,0.11952286093343936,0.1414213562373095,0.14907119849998596,0.1414213562373095
