,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0000000000000002,0.7498607149079438,0.3554052736669576,0.013402560945238031,0.013160234039688568,0.017955540902532336,0.01471348518027458,0.012662393483190012,0.008597149681394124,0.016659044851897623,0.009565193906250796,0.013225942899715163,0.013118802200794762,0.012924440650277886,0.01846810903109928,0.01248012052390254,0.01072790367173628,0.012153632515871798,0.008763859606800055,0.009308979251910739,0.01091034094862513,0.009297783311869402,0.014357737197484108,0.012153632515871798,0.01006405933568436,0.009357117239404954,0.008597359232769981,0.009167653891382434,0.008501208604295346,0.011642268054851117,0.009369721248451528,0.009516897580157443,0.010963880083542151,0.1551230320579597,0.013929796078227183,0.012978221327567459,0.00922976660645373,0.009991156287804153,0.013502193281742231,0.01326910663588372,0.013722605247968658,0.010934533111495282,0.1488546292258888,0.01072790367173628,0.011505120648517015,0.00952797410856338,0.00952797410856338,0.011233900700123613,0.011374291574706454,0.011080908523533044
The cyber-attacker accessed your computer programs.,0.7498607149079438,1.0000000000000002,0.34854591544576197,0.013143890144840898,0.20254439689416828,0.017608997122145968,0.01442951340773321,0.012418007990699193,0.008431223811084217,0.016337523578217227,0.009380584683148343,0.012970680845705131,0.012865607973258945,0.01267499762059478,0.01811167263327836,0.012239252918214275,0.010520854030948238,0.011919066162213084,0.008594716217837178,0.009129314997906536,0.010699770249687985,0.009118335140655909,0.014080631397485156,0.011919066162213084,0.00986982195864556,0.009176523917306563,0.008431429318097037,0.008990717231326406,0.008337134406610209,0.011417571087719899,0.009188884667686258,0.009333220481100376,0.010752276073811781,0.011210041511052548,0.013660949585706355,0.012727740325298574,0.009051631164628458,0.009798325947064132,0.013241599567035342,0.01301301151734009,0.013457757559714933,0.010723495501334338,0.010757052325479776,0.010520854030948238,0.01128307064038966,0.009344083231372412,0.009344083231372412,0.011017085264808218,0.011154766581117444,0.010867045852912016
The cyber-attacker accessed your information stored in an Internet site.,0.3554052736669576,0.34854591544576197,1.0,0.009731258334839026,0.009555310937246939,0.013037061183921936,0.010683087051803335,0.009193841581901922,0.006242171539809357,0.012095708404376649,0.00694504380952855,0.07598779650905986,0.009525228333690018,0.5461182045053613,0.013409223854449625,0.009061497825993676,0.0077892577730098705,0.008824443194244138,0.006363215372979411,0.0067590128710577615,0.007921720835745709,0.006750883783990836,0.010424787497205006,0.008824443194244138,0.00730725729902313,0.05376000229931678,0.006242323689729154,0.006656400124271198,0.048842499502865365,0.008453154476081954,0.006803116088534443,0.00690997707655428,0.007960594238749069,0.008299507123554251,0.5885991842288115,0.009423156140181493,0.006701498585580697,0.05740278456095758,0.009803598838194129,0.0762357876901361,0.00996363435619722,0.007939286149384637,0.007964130401813527,0.0077892577730098705,0.008353575235484323,0.006918019461872414,0.006918019461872414,0.06454279795978571,0.008258583575296376,0.008045565610021154
The cyber-attacker caused a program on your computer to crash.,0.013402560945238031,0.013143890144840898,0.009731258334839026,1.0000000000000002,0.09340360588858791,0.4581464344328849,0.220677737449024,0.08987022623938778,0.06101751520409424,0.011924141768378098,0.006846534671954414,0.009466810345895242,0.009390121622475156,0.009251002321021266,0.013219026194986617,0.008932968710778614,0.007678774227246042,0.008699276483640484,0.006272958943245925,0.006663142413355697,0.007809358421766156,0.00665512863000437,0.010276921356413444,0.008699276483640484,0.0072036104921345285,0.00669759842163399,0.006153781998704809,0.006561985135169085,0.006084959702154018,0.008333254158667498,0.006706620066755748,0.006811965328732832,0.007847680440860434,0.00818178615426245,0.009970611443696166,0.009289497230309371,0.006606443915772263,0.007151428252036205,0.009664543694244092,0.00949770590526869,0.009822309253800256,0.00782667458738741,0.007851166446664067,0.007678774227246042,0.12923754556836195,0.006819893640120915,0.006819893640120915,0.008040954673634677,0.00814144306936174,0.09548081729105437
The cyber-attacker caused your computer program to run very slowly.,0.013160234039688568,0.20254439689416828,0.009555310937246939,0.09340360588858791,1.0000000000000002,0.408205288619229,0.5944923038714426,0.3997442394567879,0.11949214512833059,0.011708545630604828,0.006722744930011005,0.009295644337703388,0.009220342195632409,0.009083738260455252,0.012980017715540266,0.008771454902044748,0.007539937059893884,0.008541987980390006,0.006159539818679608,0.006542668521174848,0.007668160208349666,0.006534799632170892,0.010091108021107574,0.008541987980390006,0.007073364590140489,0.006576501542704728,0.006042517669800416,0.0064433402315149015,0.005974939724551149,0.008182583574017436,0.006585360070691317,0.006688800622706365,0.007705789340738227,0.008033854208365623,0.009790336388245259,0.00912153715707195,0.0064869951688248375,0.007022125838441087,0.009489802540180855,0.009325981285530223,0.00964471559714399,0.007685163286580524,0.007709212317319118,0.007539937059893884,0.00808619169324289,0.006696585585135039,0.006696585585135039,0.007895569051313169,0.00799424055233782,0.007788040924901277
The cyber-attacker caused your computer to crash.,0.017955540902532336,0.017608997122145968,0.013037061183921936,0.4581464344328849,0.408205288619229,1.0000000000000002,0.6121255117630838,0.24012399180618169,0.16303251848808634,0.01597488839069813,0.009172368911074553,0.012682777648001168,0.012580037021358348,0.012393657543750035,0.01770965761734226,0.01196758483119722,0.01028732831598243,0.011654505087696899,0.008403943943666793,0.008926676523333758,0.010462273228041436,0.008915940380044672,0.013768091226830266,0.011654505087696899,0.009650746850988145,0.008972837571845811,0.008244281435054424,0.008791155136526419,0.008152079536792362,0.01116414142853163,0.008984923957324954,0.009126056026639632,0.010513613608743786,0.010961218273797825,0.0133577248655715,0.012445229547122079,0.00885071699614853,0.0095808377977632,0.012947682932788097,0.012724168728579219,0.013159042983243835,0.010485471863090207,0.010518283844532999,0.01028732831598243,0.011032626414991616,0.009136677662310487,0.009136677662310487,0.010772544973142206,0.010907170251630361,0.12791657708416374
The cyber-attacker caused your computer to run very slowly.,0.01471348518027458,0.01442951340773321,0.010683087051803335,0.220677737449024,0.5944923038714426,0.6121255117630838,1.0,0.44692449430684805,0.1335953373779451,0.013090459645241205,0.0075162043167450975,0.010392773015390747,0.010308583254930339,0.010155856489605744,0.014511998625658386,0.009806715543315393,0.008429846449263988,0.009550165535089994,0.006886526300834561,0.007314874191100116,0.008573203276268938,0.007306076567790701,0.011282122177565001,0.009550165535089994,0.00790820624905649,0.007352700392319831,0.006755692483737899,0.0072038225704764884,0.0066801385769502345,0.009148342027169057,0.0073626044578445505,0.007478253695124289,0.008615273628519209,0.008982058714061552,0.010945851640930123,0.010198116642694455,0.007252629929921501,0.007850919987162414,0.010609846953906248,0.010426690514951832,0.010783043795313793,0.008592213161565379,0.008619100605687203,0.008429846449263988,0.009040573388328905,0.00748695748633179,0.00748695748633179,0.008827452298795143,0.00893776961258024,0.10481993672347989
The cyber-attacker caused your Internet connection to run very slowly.,0.012662393483190012,0.012418007990699193,0.009193841581901922,0.08987022623938778,0.3997442394567879,0.24012399180618169,0.44692449430684805,1.0000000000000002,0.11497185803856527,0.011265621222501597,0.006468429158189538,0.008943997950858096,0.008871544425323957,0.008740108101824785,0.012488994590618802,0.008439638159533434,0.007254707598887239,0.00821885177802943,0.005926529621303282,0.006295164888052198,0.0073780801737597015,0.006287593672483908,0.00970936991388512,0.00821885177802943,0.006805785172232503,0.006327718034906928,0.005813934321638548,0.006199594103832598,0.005748912793073701,0.007873043337286115,0.00633624145224964,0.006435768935407068,0.0074142858278003565,0.007729940278122505,0.009419976218271607,0.008776477098055976,0.0062415976116756465,0.006756484739303375,0.009130811312257613,0.00897318727752994,0.009279864138904567,0.007394440039878745,0.007417579316063579,0.007254707598887239,0.007780297880079874,0.00644325939927165,0.00644325939927165,0.007596886331953905,0.007691825173298452,0.007493425903892263
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.008597149681394124,0.008431223811084217,0.006242171539809357,0.06101751520409424,0.11949214512833059,0.16303251848808634,0.1335953373779451,0.11497185803856527,1.0,0.007648809210700401,0.004391748980970691,0.006072539858731187,0.006023347436714873,0.005934108561916469,0.008479420261912594,0.005730104076345246,0.004925593822777671,0.005580200855289669,0.004023825536080584,0.004274110963578031,0.005009357804221276,0.004268970476228849,0.006592190218421958,0.005580200855289669,0.004620797316302883,0.004296212967948851,0.003947378800641174,0.004209223046598125,0.00390323234331246,0.005345413733083544,0.004301999954018236,0.004369574277249683,0.005033939683430251,0.005248253711865738,0.006395705965950727,0.00595880134253308,0.004237741386716815,0.004587324718739719,0.006199377050496563,0.0060923579927064184,0.00630057667462923,0.005020465358095645,0.005036175801871084,0.004925593822777671,0.005282444075812198,0.004374659938117225,0.004374659938117225,0.005157916549904203,0.0052223754083894295,0.005087671948255403
The cyber-attacker changed a device’s serial number.,0.016659044851897623,0.016337523578217227,0.012095708404376649,0.011924141768378098,0.011708545630604828,0.01597488839069813,0.013090459645241205,0.011265621222501597,0.007648809210700401,1.0000000000000002,0.1154883861689717,0.15968759400192603,0.011671684084314312,0.011498762305248763,0.016430915791428292,0.011103454557789818,0.009544522482081161,0.010812981019983061,0.007797129579684984,0.008282117781237408,0.00970683533873207,0.008272156850872783,0.012773953762675878,0.010812981019983061,0.008953905956809519,0.008324945729543017,0.007648995646734805,0.00815638183858494,0.007563451269825437,0.010358024511787713,0.008336159406640651,0.008467100907401721,0.009754468640868534,0.010169753606747907,0.012393218275227786,0.011546610505530823,0.00821164298032906,0.008889044749923582,0.012012783790603929,0.011805408631416896,0.012208882397688768,0.009728358895381137,0.009758801658063827,0.009544522482081161,0.01023600565860173,0.008476955598274126,0.008476955598274126,0.009994703632200262,0.010119608170844212,0.009858587824887566
