,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,0.9999999999999999,0.7999999999999999,0.5070925528371099,0.5477225575051662,0.5070925528371099,0.6,0.5477225575051662,0.3380617018914066,0.22360679774997896,0.36514837167011077,0.4242640687119285,0.36514837167011077,0.5070925528371099,0.3380617018914066,0.4472135954999579,0.36514837167011077,0.3380617018914066,0.3380617018914066,0.282842712474619,0.2981423969999719,0.3162277660168379,0.4242640687119285,0.5477225575051662,0.5070925528371099,0.2981423969999719,0.32539568672798425,0.38729833462074176,0.26967994498529685,0.26967994498529685,0.565685424949238,0.4961389383568338,0.5070925528371099,0.3162277660168379,0.6324555320336758,0.3380617018914066,0.3380617018914066,0.2981423969999719,0.36514837167011077,0.36514837167011077,0.36514837167011077,0.6,0.5070925528371099,0.6324555320336758,0.3380617018914066,0.5477225575051662,0.2981423969999719,0.2981423969999719,0.36514837167011077,0.3380617018914066,0.47434164902525683
The cyber-attacker accessed your computer programs.,0.7999999999999999,0.9999999999999999,0.5070925528371099,0.5477225575051662,0.5070925528371099,0.6,0.5477225575051662,0.3380617018914066,0.22360679774997896,0.36514837167011077,0.4242640687119285,0.36514837167011077,0.5070925528371099,0.3380617018914066,0.4472135954999579,0.36514837167011077,0.3380617018914066,0.3380617018914066,0.282842712474619,0.2981423969999719,0.3162277660168379,0.4242640687119285,0.5477225575051662,0.5070925528371099,0.2981423969999719,0.32539568672798425,0.38729833462074176,0.26967994498529685,0.26967994498529685,0.565685424949238,0.4961389383568338,0.5070925528371099,0.3162277660168379,0.47434164902525683,0.3380617018914066,0.3380617018914066,0.2981423969999719,0.36514837167011077,0.36514837167011077,0.36514837167011077,0.6,0.5070925528371099,0.47434164902525683,0.3380617018914066,0.5477225575051662,0.2981423969999719,0.2981423969999719,0.36514837167011077,0.3380617018914066,0.47434164902525683
The cyber-attacker accessed your information stored in an Internet site.,0.5070925528371099,0.5070925528371099,0.9999999999999997,0.3086066999241838,0.28571428571428564,0.3380617018914066,0.3086066999241838,0.4285714285714285,0.3779644730092272,0.3086066999241838,0.4780914437337574,0.6172133998483676,0.28571428571428564,0.8571428571428569,0.3779644730092272,0.46291004988627577,0.28571428571428564,0.28571428571428564,0.4780914437337574,0.3779644730092272,0.5345224838248487,0.47809144373375745,0.3086066999241838,0.28571428571428564,0.3779644730092272,0.6416889479197478,0.3273268353539886,0.45584230583855173,0.45584230583855173,0.35856858280031806,0.20965696734438366,0.28571428571428564,0.26726124191242434,0.26726124191242434,0.8571428571428569,0.5714285714285713,0.3779644730092272,0.6172133998483676,0.3086066999241838,0.6172133998483676,0.3380617018914066,0.28571428571428564,0.26726124191242434,0.4285714285714285,0.3086066999241838,0.3779644730092272,0.3779644730092272,0.6172133998483676,0.28571428571428564,0.26726124191242434
The cyber-attacker caused a program on your computer to crash.,0.5477225575051662,0.5477225575051662,0.3086066999241838,1.0000000000000002,0.7715167498104596,0.9128709291752769,0.6666666666666669,0.46291004988627577,0.3061862178478973,0.3333333333333334,0.38729833462074176,0.3333333333333334,0.46291004988627577,0.3086066999241838,0.4082482904638631,0.3333333333333334,0.3086066999241838,0.3086066999241838,0.25819888974716115,0.2721655269759087,0.2886751345948129,0.38729833462074176,0.5000000000000001,0.46291004988627577,0.2721655269759087,0.29704426289300234,0.35355339059327384,0.2461829819586655,0.2461829819586655,0.5163977794943223,0.45291081365783836,0.46291004988627577,0.2886751345948129,0.43301270189221935,0.3086066999241838,0.3086066999241838,0.2721655269759087,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.5477225575051662,0.46291004988627577,0.43301270189221935,0.3086066999241838,0.5000000000000001,0.2721655269759087,0.2721655269759087,0.3333333333333334,0.3086066999241838,0.43301270189221935
The cyber-attacker caused your computer program to run very slowly.,0.5070925528371099,0.5070925528371099,0.28571428571428564,0.7715167498104596,0.9999999999999997,0.6761234037828131,0.9258200997725515,0.7142857142857141,0.28347335475692037,0.3086066999241838,0.35856858280031806,0.3086066999241838,0.4285714285714285,0.28571428571428564,0.3779644730092272,0.3086066999241838,0.28571428571428564,0.28571428571428564,0.23904572186687872,0.2519763153394848,0.26726124191242434,0.35856858280031806,0.46291004988627577,0.4285714285714285,0.2519763153394848,0.27500954910846337,0.3273268353539886,0.2279211529192759,0.2279211529192759,0.4780914437337574,0.628970902033151,0.4285714285714285,0.26726124191242434,0.4008918628686365,0.28571428571428564,0.28571428571428564,0.2519763153394848,0.3086066999241838,0.3086066999241838,0.3086066999241838,0.5070925528371099,0.4285714285714285,0.4008918628686365,0.28571428571428564,0.46291004988627577,0.2519763153394848,0.2519763153394848,0.3086066999241838,0.28571428571428564,0.4008918628686365
The cyber-attacker caused your computer to crash.,0.6,0.6,0.3380617018914066,0.9128709291752769,0.6761234037828131,0.9999999999999999,0.7302967433402215,0.5070925528371099,0.33541019662496846,0.36514837167011077,0.4242640687119285,0.36514837167011077,0.5070925528371099,0.3380617018914066,0.4472135954999579,0.36514837167011077,0.3380617018914066,0.3380617018914066,0.282842712474619,0.2981423969999719,0.3162277660168379,0.4242640687119285,0.5477225575051662,0.5070925528371099,0.2981423969999719,0.32539568672798425,0.38729833462074176,0.26967994498529685,0.26967994498529685,0.565685424949238,0.4961389383568338,0.5070925528371099,0.3162277660168379,0.47434164902525683,0.3380617018914066,0.3380617018914066,0.2981423969999719,0.36514837167011077,0.36514837167011077,0.36514837167011077,0.6,0.5070925528371099,0.47434164902525683,0.3380617018914066,0.5477225575051662,0.2981423969999719,0.2981423969999719,0.36514837167011077,0.3380617018914066,0.47434164902525683
The cyber-attacker caused your computer to run very slowly.,0.5477225575051662,0.5477225575051662,0.3086066999241838,0.6666666666666669,0.9258200997725515,0.7302967433402215,1.0000000000000002,0.7715167498104596,0.3061862178478973,0.3333333333333334,0.38729833462074176,0.3333333333333334,0.46291004988627577,0.3086066999241838,0.4082482904638631,0.3333333333333334,0.3086066999241838,0.3086066999241838,0.25819888974716115,0.2721655269759087,0.2886751345948129,0.38729833462074176,0.5000000000000001,0.46291004988627577,0.2721655269759087,0.29704426289300234,0.35355339059327384,0.2461829819586655,0.2461829819586655,0.5163977794943223,0.6793662204867575,0.46291004988627577,0.2886751345948129,0.43301270189221935,0.3086066999241838,0.3086066999241838,0.2721655269759087,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.5477225575051662,0.46291004988627577,0.43301270189221935,0.3086066999241838,0.5000000000000001,0.2721655269759087,0.2721655269759087,0.3333333333333334,0.3086066999241838,0.43301270189221935
The cyber-attacker caused your Internet connection to run very slowly.,0.3380617018914066,0.3380617018914066,0.4285714285714285,0.46291004988627577,0.7142857142857141,0.5070925528371099,0.7715167498104596,0.9999999999999997,0.47245559126153397,0.3086066999241838,0.4780914437337574,0.46291004988627577,0.28571428571428564,0.4285714285714285,0.3779644730092272,0.46291004988627577,0.28571428571428564,0.28571428571428564,0.35856858280031806,0.2519763153394848,0.4008918628686365,0.47809144373375745,0.3086066999241838,0.28571428571428564,0.3779644730092272,0.45834924851410563,0.3273268353539886,0.3418817293789138,0.45584230583855173,0.35856858280031806,0.4193139346887673,0.28571428571428564,0.26726124191242434,0.26726124191242434,0.4285714285714285,0.4285714285714285,0.3779644730092272,0.46291004988627577,0.3086066999241838,0.46291004988627577,0.3380617018914066,0.28571428571428564,0.26726124191242434,0.4285714285714285,0.3086066999241838,0.3779644730092272,0.2519763153394848,0.46291004988627577,0.28571428571428564,0.26726124191242434
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.22360679774997896,0.22360679774997896,0.3779644730092272,0.3061862178478973,0.28347335475692037,0.33541019662496846,0.3061862178478973,0.47245559126153397,1.0,0.20412414523193154,0.3952847075210474,0.4082482904638631,0.1889822365046136,0.3779644730092272,0.25,0.4082482904638631,0.1889822365046136,0.1889822365046136,0.31622776601683794,0.16666666666666666,0.35355339059327373,0.4743416490252569,0.20412414523193154,0.1889822365046136,0.5,0.42443734381358267,0.2165063509461097,0.30151134457776363,0.30151134457776363,0.23717082451262844,0.1386750490563073,0.1889822365046136,0.17677669529663687,0.17677669529663687,0.3779644730092272,0.3779644730092272,0.3333333333333333,0.4082482904638631,0.20412414523193154,0.4082482904638631,0.22360679774997896,0.1889822365046136,0.17677669529663687,0.3779644730092272,0.20412414523193154,0.3333333333333333,0.25,0.4082482904638631,0.1889822365046136,0.17677669529663687
The cyber-attacker changed a device’s serial number.,0.36514837167011077,0.36514837167011077,0.3086066999241838,0.3333333333333334,0.3086066999241838,0.36514837167011077,0.3333333333333334,0.3086066999241838,0.20412414523193154,1.0000000000000002,0.5163977794943223,0.5000000000000001,0.3086066999241838,0.3086066999241838,0.4082482904638631,0.3333333333333334,0.46291004988627577,0.3086066999241838,0.25819888974716115,0.408248290463863,0.2886751345948129,0.25819888974716115,0.3333333333333334,0.3086066999241838,0.2721655269759087,0.29704426289300234,0.35355339059327384,0.2461829819586655,0.2461829819586655,0.38729833462074176,0.22645540682891918,0.3086066999241838,0.2886751345948129,0.2886751345948129,0.3086066999241838,0.3086066999241838,0.2721655269759087,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.36514837167011077,0.3086066999241838,0.2886751345948129,0.46291004988627577,0.3333333333333334,0.2721655269759087,0.2721655269759087,0.3333333333333334,0.3086066999241838,0.2886751345948129
