,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0,0.5471810026053323,0.3940331014613963,0.15583435848497673,0.14211519533810318,0.1908891578507678,0.1671839900392448,0.04968993130532583,0.027667944252255713,0.04653339061342,0.0653846429645518,0.05540421040376242,0.1174010389886929,0.05106284122301348,0.06308567409897507,0.04815008147359399,0.0382387900028358,0.0382387900028358,0.03562757948461454,0.03620476509164761,0.04159490884154467,0.12142519179787872,0.1339199988045505,0.12170769670936817,0.036728678495586885,0.054844981116301955,0.05305649556293621,0.03412367839989385,0.0334769280242385,0.1485030664442964,0.16978569482192693,0.1412419413817341,0.03605760077574878,0.3846252264441874,0.05504658688313149,0.04658233584355673,0.036385385800315,0.0521683026793331,0.046305449780772015,0.05885788061979837,0.18434146990658837,0.1259708754622544,0.36767293818991087,0.04350275846457346,0.1339199988045505,0.03678675584809535,0.03599583376011087,0.05406073969495693,0.0382387900028358,0.10765233100216054
The cyber-attacker accessed your computer programs.,0.5471810026053323,1.0,0.36355869186974327,0.1437821728911506,0.13112404597560368,0.17612584390233313,0.15425402712311675,0.04584692594977715,0.025528113201069604,0.04293451122998152,0.06032781300961728,0.051119264304857595,0.10832127554912928,0.04711365539935468,0.05820664575154053,0.04442616767230254,0.035281412705056185,0.035281412705056185,0.032872152476207006,0.033404698710218124,0.038377970253736994,0.11203420150830756,0.12356266364426222,0.11229485756914853,0.03388809279838675,0.05060328565369777,0.04895312107159022,0.031484562679728684,0.03088783179679661,0.13701788092141634,0.15665451678734826,0.13031832923538528,0.03326891604125033,0.111358465309932,0.05078929928704508,0.042979671049742284,0.03357135026391794,0.04813362077658164,0.042724199277422575,0.05430582863469356,0.1700845523079761,0.11622832327255736,0.1064503608131466,0.04013826732182604,0.12356266364426222,0.0339416784647354,0.03321192606928419,0.04987969724400118,0.035281412705056185,0.09932652990502239
The cyber-attacker accessed your information stored in an Internet site.,0.3940331014613963,0.36355869186974327,1.0,0.04529079341090472,0.04130353546665971,0.05547891682330235,0.04858938444700025,0.1084782994065447,0.09769161848706352,0.038871628751535235,0.11336732943941635,0.2695365226202926,0.03412075651837118,0.6760106997490939,0.05269856485395427,0.10511664671957832,0.03194274110061257,0.03194274110061257,0.18905748952324616,0.14332516486560332,0.20235550703014202,0.14916532617176337,0.03892173111509446,0.035372418520351216,0.08018253352312354,0.34048299331670523,0.04432069899039656,0.18107704943493302,0.16286225725275047,0.05514678511318916,0.029868717926219226,0.04104973800557555,0.030120686512402038,0.035077458807954515,0.7287507084680969,0.24718882388613217,0.07943308978666598,0.25379412129002127,0.03868121856849877,0.2863383189733797,0.05357593480520337,0.03661144404750635,0.03353142606736348,0.09497105618306212,0.03892173111509446,0.08030932243726877,0.14249806054764153,0.26300065791877053,0.03194274110061257,0.031287448615455536
The cyber-attacker caused a program on your computer to crash.,0.15583435848497673,0.1437821728911506,0.04529079341090472,1.0000000000000002,0.6077727299308237,0.8163604483330794,0.35713351158843065,0.2271015139986518,0.12645282180625803,0.038966830534927464,0.05475277576810931,0.04639521103588466,0.09831104784308313,0.042759770013303916,0.0528276306409419,0.04032063944387032,0.03202097311755872,0.03202097311755872,0.029834358378911165,0.03031769074390695,0.03483137038969153,0.10168085344923151,0.11214394287334901,0.10191742166113653,0.03075641323021533,0.0459269152038514,0.04442924627078057,0.028574999068594672,0.028033413511334752,0.12435573139566403,0.14217769885594614,0.11827530127707774,0.03019445607557903,0.10106756364636475,0.046095738873206914,0.0390078170279186,0.03046894162962493,0.043685477954707994,0.03877595401205439,0.04928729734762201,0.15436663272798049,0.10548738640718092,0.09661302880492935,0.036428994202757234,0.11214394287334901,0.030805046917193254,0.030142732682993997,0.04527019532676579,0.03202097311755872,0.09014752812019095
The cyber-attacker caused your computer program to run very slowly.,0.14211519533810318,0.13112404597560368,0.04130353546665971,0.6077727299308237,1.0,0.37187285579334856,0.8500526593769118,0.6550531570451873,0.1153203160507328,0.03553631424428042,0.049932514878215165,0.04231072366337565,0.08965605469772119,0.03899533534922525,0.0481768534280609,0.03677093810653623,0.029201948105409097,0.029201948105409097,0.027207835999881157,0.027648617314941566,0.03176492690668116,0.092729193295814,0.10227114548020247,0.09294493479192897,0.028048716063684094,0.04188365511256025,0.040517836206868225,0.02605934669286006,0.02556544061200236,0.11340784683508187,0.4310702651943957,0.10786271851778667,0.027536231836333927,0.0921698955839318,0.042037616080997556,0.03557369241629773,0.02778655255193196,0.039839546896650826,0.035362241885672926,0.04494819986004399,0.1407766835061416,0.09620061115346223,0.08810752387537171,0.03322190098144867,0.10227114548020247,0.028093068194960366,0.027489062007342198,0.041284750772581626,0.029201948105409097,0.08221122538444027
The cyber-attacker caused your computer to crash.,0.1908891578507678,0.17612584390233313,0.05547891682330235,0.8163604483330794,0.37187285579334856,1.0,0.43747037514820697,0.27818779616573636,0.15489827081218985,0.04773238416252718,0.06706936363699224,0.056831772203833154,0.12042603000160501,0.05237854197936071,0.06471115883775393,0.04939073117297728,0.039224062340283784,0.039224062340283784,0.03654557057465209,0.037137628122249716,0.04266665596160797,0.12455387036063903,0.13737062237928718,0.12484365437992617,0.03767504083890472,0.05625813364382027,0.054423565425665024,0.035002919515444146,0.03433950477215792,0.1523294417920235,0.17416044486998086,0.1448812243642906,0.03698667192565843,0.12380262156591969,0.05646493404638782,0.0477825905304065,0.03732290275923981,0.05351248709305929,0.04749857013679526,0.060374430741054884,0.18909126849932603,0.12921667949810023,0.11834604310167501,0.04462366382048683,0.13737062237928718,0.03773461463020883,0.03692331340223823,0.05545368521858535,0.039224062340283784,0.11042613382882836
The cyber-attacker caused your computer to run very slowly.,0.1671839900392448,0.15425402712311675,0.04858938444700025,0.35713351158843065,0.8500526593769118,0.43747037514820697,1.0000000000000002,0.7706030324348859,0.13566255546481387,0.041804838620619726,0.05874049604740451,0.04977423833293975,0.10547117723675971,0.04587402311970745,0.0566751399417708,0.043257247302172216,0.03435310481448775,0.03435310481448775,0.032007235904449136,0.032525770033127115,0.03736818720144331,0.10908641043930674,0.12031154111695525,0.10934020824081365,0.03299644528404134,0.04927183586868719,0.047665089638761655,0.030656155716237105,0.030075125734847795,0.1334127310632847,0.5071100718752766,0.12688945482136366,0.032393560013703124,0.10842845389307092,0.04945295519904745,0.041848810216502635,0.032688036729747426,0.0468671516489969,0.04160006029696259,0.05287695928507653,0.16560936778826246,0.11317017844985891,0.10364948912689068,0.039082168163323334,0.12031154111695525,0.03304862102961077,0.03233806953499995,0.04856728617594507,0.03435310481448775,0.09671309709765635
The cyber-attacker caused your Internet connection to run very slowly.,0.04968993130532583,0.04584692594977715,0.1084782994065447,0.2271015139986518,0.6550531570451873,0.27818779616573636,0.7706030324348859,1.0000000000000002,0.18441074178356043,0.03571260995111059,0.10415419542483237,0.11112354663605324,0.031347831513987644,0.10241611561040473,0.048415858868230334,0.09657402903439505,0.029346819012579493,0.029346819012579493,0.07145780007577553,0.027785782145793407,0.08342639952435613,0.13704296122636692,0.0357586405967225,0.03249777347173424,0.07366626088416904,0.13263872973695917,0.0407188452514252,0.06844144407853128,0.25589927052553474,0.050665117209096985,0.3303460806326299,0.037713708662915256,0.027672839122662374,0.0322267845397436,0.11040626551818568,0.09342962081409337,0.0729777229273088,0.10463332612203312,0.035537674019277994,0.11805053071398455,0.049221926734644254,0.03363610589545633,0.030806394759081434,0.08725295016038538,0.0357586405967225,0.07378274591920411,0.027625435284080176,0.10842896388004702,0.029346819012579493,0.02874478082488501
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.027667944252255713,0.025528113201069604,0.09769161848706352,0.12645282180625803,0.1153203160507328,0.15489827081218985,0.13566255546481387,0.18441074178356043,1.0,0.019885205619593508,0.08804763902493774,0.10007383211470008,0.01745484511597933,0.09223223582849618,0.026958525578555204,0.08697106473645103,0.016340657575714134,0.016340657575714134,0.06435230070085662,0.015471453697355702,0.075130786882441,0.13456115432842275,0.019910836030085723,0.018095146463645965,0.29696100390775876,0.12427262793163316,0.02267273692752939,0.06163587998891677,0.060467687390524334,0.028210939352316035,0.015279668401675864,0.02099944116283198,0.015408565679892579,0.017944256605955784,0.09942787477855046,0.08413932484095295,0.06572108804499892,0.09422897512651693,0.01978779921385871,0.10631202251323431,0.027407353745662864,0.01872898348480325,0.017153366696562363,0.07857683947453986,0.019910836030085723,0.06644606252770921,0.12839132169729145,0.09764718870286855,0.016340657575714134,0.01600543555834993
The cyber-attacker changed a device’s serial number.,0.04653339061342,0.04293451122998152,0.038871628751535235,0.038966830534927464,0.03553631424428042,0.04773238416252718,0.041804838620619726,0.03571260995111059,0.019885205619593508,1.0,0.24390370599187708,0.29010093391823805,0.02935646821004393,0.03669933291691867,0.045340253315224496,0.034605905736004784,0.2293904745062242,0.027482569536724934,0.025605868557517134,0.18957108293459496,0.029894642966650117,0.030362719219684482,0.03348708172824219,0.030433360387128666,0.0263972385285236,0.03941759159108732,0.03813219059952464,0.024525001037019566,0.024060175602675725,0.0474466280719717,0.0256981426482651,0.03531795457531776,0.025914928808508146,0.030179585960540104,0.039562487507131906,0.033479152554478885,0.0261505109158413,0.037493838217458254,0.03328015199840307,0.0423016993162677,0.046095115918239296,0.031499380522988736,0.02884942609212068,0.22778396743896698,0.03348708172824219,0.02643897925511836,0.02587053628713864,0.03885395007957254,0.027482569536724934,0.026918775677159258
