,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0,0.75,0.4082482904638631,0.22360679774997896,0.20412414523193154,0.25,0.22360679774997896,0.20412414523193154,0.1386750490563073,0.22360679774997896,0.1889822365046136,0.22360679774997896,0.20412414523193154,0.20412414523193154,0.2886751345948129,0.22360679774997896,0.20412414523193154,0.20412414523193154,0.16666666666666666,0.17677669529663687,0.1889822365046136,0.1889822365046136,0.22360679774997896,0.20412414523193154,0.17677669529663687,0.14433756729740646,0.16666666666666666,0.15811388300841897,0.17677669529663687,0.1889822365046136,0.17677669529663687,0.20412414523193154,0.1889822365046136,0.3779644730092272,0.20412414523193154,0.20412414523193154,0.17677669529663687,0.22360679774997896,0.22360679774997896,0.22360679774997896,0.25,0.20412414523193154,0.3779644730092272,0.20412414523193154,0.22360679774997896,0.17677669529663687,0.17677669529663687,0.22360679774997896,0.20412414523193154,0.1889822365046136
The cyber-attacker accessed your computer programs.,0.75,1.0,0.4082482904638631,0.22360679774997896,0.20412414523193154,0.25,0.22360679774997896,0.20412414523193154,0.1386750490563073,0.22360679774997896,0.1889822365046136,0.22360679774997896,0.20412414523193154,0.20412414523193154,0.2886751345948129,0.22360679774997896,0.20412414523193154,0.20412414523193154,0.16666666666666666,0.17677669529663687,0.1889822365046136,0.1889822365046136,0.22360679774997896,0.20412414523193154,0.17677669529663687,0.14433756729740646,0.16666666666666666,0.15811388300841897,0.17677669529663687,0.1889822365046136,0.17677669529663687,0.20412414523193154,0.1889822365046136,0.1889822365046136,0.20412414523193154,0.20412414523193154,0.17677669529663687,0.22360679774997896,0.22360679774997896,0.22360679774997896,0.25,0.20412414523193154,0.1889822365046136,0.20412414523193154,0.22360679774997896,0.17677669529663687,0.17677669529663687,0.22360679774997896,0.20412414523193154,0.1889822365046136
The cyber-attacker accessed your information stored in an Internet site.,0.4082482904638631,0.4082482904638631,1.0000000000000002,0.18257418583505539,0.1666666666666667,0.20412414523193154,0.18257418583505539,0.1666666666666667,0.11322770341445959,0.18257418583505539,0.1543033499620919,0.36514837167011077,0.1666666666666667,0.6666666666666669,0.2357022603955159,0.18257418583505539,0.1666666666666667,0.1666666666666667,0.13608276348795434,0.14433756729740646,0.3086066999241838,0.1543033499620919,0.18257418583505539,0.1666666666666667,0.14433756729740646,0.35355339059327384,0.13608276348795434,0.12909944487358058,0.2886751345948129,0.1543033499620919,0.14433756729740646,0.1666666666666667,0.1543033499620919,0.1543033499620919,0.6666666666666669,0.1666666666666667,0.14433756729740646,0.36514837167011077,0.18257418583505539,0.36514837167011077,0.20412414523193154,0.1666666666666667,0.1543033499620919,0.1666666666666667,0.18257418583505539,0.14433756729740646,0.14433756729740646,0.36514837167011077,0.1666666666666667,0.1543033499620919
The cyber-attacker caused a program on your computer to crash.,0.22360679774997896,0.22360679774997896,0.18257418583505539,0.9999999999999999,0.36514837167011077,0.6708203932499369,0.39999999999999997,0.36514837167011077,0.2480694691784169,0.19999999999999998,0.1690308509457033,0.19999999999999998,0.18257418583505539,0.18257418583505539,0.25819888974716115,0.19999999999999998,0.18257418583505539,0.18257418583505539,0.14907119849998596,0.15811388300841894,0.1690308509457033,0.1690308509457033,0.19999999999999998,0.18257418583505539,0.15811388300841894,0.12909944487358058,0.14907119849998596,0.1414213562373095,0.15811388300841894,0.1690308509457033,0.15811388300841894,0.18257418583505539,0.1690308509457033,0.1690308509457033,0.18257418583505539,0.18257418583505539,0.15811388300841894,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.22360679774997896,0.18257418583505539,0.1690308509457033,0.18257418583505539,0.19999999999999998,0.15811388300841894,0.15811388300841894,0.19999999999999998,0.18257418583505539,0.1690308509457033
The cyber-attacker caused your computer program to run very slowly.,0.20412414523193154,0.20412414523193154,0.1666666666666667,0.36514837167011077,1.0000000000000002,0.6123724356957946,0.7302967433402215,0.5000000000000001,0.22645540682891918,0.18257418583505539,0.1543033499620919,0.18257418583505539,0.1666666666666667,0.1666666666666667,0.2357022603955159,0.18257418583505539,0.1666666666666667,0.1666666666666667,0.13608276348795434,0.14433756729740646,0.1543033499620919,0.1543033499620919,0.18257418583505539,0.1666666666666667,0.14433756729740646,0.11785113019775795,0.13608276348795434,0.12909944487358058,0.14433756729740646,0.1543033499620919,0.14433756729740646,0.1666666666666667,0.1543033499620919,0.1543033499620919,0.1666666666666667,0.1666666666666667,0.14433756729740646,0.18257418583505539,0.18257418583505539,0.18257418583505539,0.20412414523193154,0.1666666666666667,0.1543033499620919,0.1666666666666667,0.18257418583505539,0.14433756729740646,0.14433756729740646,0.18257418583505539,0.1666666666666667,0.1543033499620919
The cyber-attacker caused your computer to crash.,0.25,0.25,0.20412414523193154,0.6708203932499369,0.6123724356957946,1.0,0.6708203932499369,0.4082482904638631,0.2773500981126146,0.22360679774997896,0.1889822365046136,0.22360679774997896,0.20412414523193154,0.20412414523193154,0.2886751345948129,0.22360679774997896,0.20412414523193154,0.20412414523193154,0.16666666666666666,0.17677669529663687,0.1889822365046136,0.1889822365046136,0.22360679774997896,0.20412414523193154,0.17677669529663687,0.14433756729740646,0.16666666666666666,0.15811388300841897,0.17677669529663687,0.1889822365046136,0.17677669529663687,0.20412414523193154,0.1889822365046136,0.1889822365046136,0.20412414523193154,0.20412414523193154,0.17677669529663687,0.22360679774997896,0.22360679774997896,0.22360679774997896,0.25,0.20412414523193154,0.1889822365046136,0.20412414523193154,0.22360679774997896,0.17677669529663687,0.17677669529663687,0.22360679774997896,0.20412414523193154,0.1889822365046136
The cyber-attacker caused your computer to run very slowly.,0.22360679774997896,0.22360679774997896,0.18257418583505539,0.39999999999999997,0.7302967433402215,0.6708203932499369,0.9999999999999999,0.5477225575051662,0.2480694691784169,0.19999999999999998,0.1690308509457033,0.19999999999999998,0.18257418583505539,0.18257418583505539,0.25819888974716115,0.19999999999999998,0.18257418583505539,0.18257418583505539,0.14907119849998596,0.15811388300841894,0.1690308509457033,0.1690308509457033,0.19999999999999998,0.18257418583505539,0.15811388300841894,0.12909944487358058,0.14907119849998596,0.1414213562373095,0.15811388300841894,0.1690308509457033,0.3162277660168379,0.18257418583505539,0.1690308509457033,0.1690308509457033,0.18257418583505539,0.18257418583505539,0.15811388300841894,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.22360679774997896,0.18257418583505539,0.1690308509457033,0.18257418583505539,0.19999999999999998,0.15811388300841894,0.15811388300841894,0.19999999999999998,0.18257418583505539,0.1690308509457033
The cyber-attacker caused your Internet connection to run very slowly.,0.20412414523193154,0.20412414523193154,0.1666666666666667,0.36514837167011077,0.5000000000000001,0.4082482904638631,0.5477225575051662,1.0000000000000002,0.22645540682891918,0.18257418583505539,0.1543033499620919,0.18257418583505539,0.1666666666666667,0.1666666666666667,0.2357022603955159,0.18257418583505539,0.1666666666666667,0.1666666666666667,0.13608276348795434,0.14433756729740646,0.1543033499620919,0.1543033499620919,0.18257418583505539,0.1666666666666667,0.14433756729740646,0.11785113019775795,0.13608276348795434,0.12909944487358058,0.14433756729740646,0.1543033499620919,0.14433756729740646,0.1666666666666667,0.1543033499620919,0.1543033499620919,0.1666666666666667,0.1666666666666667,0.14433756729740646,0.18257418583505539,0.18257418583505539,0.18257418583505539,0.20412414523193154,0.1666666666666667,0.1543033499620919,0.1666666666666667,0.18257418583505539,0.14433756729740646,0.14433756729740646,0.18257418583505539,0.1666666666666667,0.1543033499620919
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.1386750490563073,0.1386750490563073,0.11322770341445959,0.2480694691784169,0.22645540682891918,0.2773500981126146,0.2480694691784169,0.22645540682891918,1.0000000000000002,0.12403473458920845,0.10482848367219183,0.12403473458920845,0.11322770341445959,0.11322770341445959,0.16012815380508716,0.12403473458920845,0.11322770341445959,0.11322770341445959,0.09245003270420485,0.09805806756909201,0.10482848367219183,0.10482848367219183,0.12403473458920845,0.11322770341445959,0.294174202707276,0.08006407690254358,0.09245003270420485,0.08770580193070293,0.09805806756909201,0.10482848367219183,0.09805806756909201,0.11322770341445959,0.10482848367219183,0.10482848367219183,0.11322770341445959,0.11322770341445959,0.09805806756909201,0.12403473458920845,0.12403473458920845,0.12403473458920845,0.1386750490563073,0.11322770341445959,0.10482848367219183,0.11322770341445959,0.12403473458920845,0.09805806756909201,0.09805806756909201,0.12403473458920845,0.11322770341445959,0.10482848367219183
The cyber-attacker changed a device’s serial number.,0.22360679774997896,0.22360679774997896,0.18257418583505539,0.19999999999999998,0.18257418583505539,0.22360679774997896,0.19999999999999998,0.18257418583505539,0.12403473458920845,0.9999999999999999,0.3380617018914066,0.39999999999999997,0.18257418583505539,0.18257418583505539,0.25819888974716115,0.19999999999999998,0.18257418583505539,0.18257418583505539,0.14907119849998596,0.15811388300841894,0.1690308509457033,0.1690308509457033,0.19999999999999998,0.18257418583505539,0.15811388300841894,0.12909944487358058,0.14907119849998596,0.1414213562373095,0.15811388300841894,0.1690308509457033,0.15811388300841894,0.18257418583505539,0.1690308509457033,0.1690308509457033,0.18257418583505539,0.18257418583505539,0.15811388300841894,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.22360679774997896,0.18257418583505539,0.1690308509457033,0.18257418583505539,0.19999999999999998,0.15811388300841894,0.15811388300841894,0.19999999999999998,0.18257418583505539,0.1690308509457033
