,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0000000000000002,0.5718031895526909,0.3748866510754416,0.16384652506511782,0.1487893660806624,0.19580821193878903,0.17149218176115064,0.05097039931342529,0.028946513228459127,0.04773251720554097,0.06706955057737721,0.056831930609292786,0.12042636566139345,0.053206056362699754,0.0647113392051868,0.04939086883825093,0.04085478332135043,0.039224171668312505,0.03733069665753217,0.03922392553428338,0.0442931979417714,0.1245542175258306,0.13737100526821944,0.12484400235282385,0.040128676471617594,0.05723353871423071,0.05483116940133886,0.03500301707801063,0.034339600485608794,0.1562013698833193,0.17704489206310414,0.15277125355387175,0.03698677501747731,0.3945366971311475,0.05750562519260104,0.047782723713358954,0.037734719806745524,0.0554538397829453,0.32910240896822845,0.060374599020858254,0.1890917955476326,0.134114456298459,0.37714756257414006,0.045730895335892446,0.13737100526821944,0.038040576166772484,0.037209817371671464,0.0587509251957911,0.039224171668312505,0.12069178138133109
The cyber-attacker accessed your computer programs.,0.5718031895526909,1.0000000000000002,0.3748866510754416,0.5221479629406125,0.474163638047047,0.19580821193878903,0.17149218176115064,0.05097039931342529,0.028946513228459127,0.04773251720554097,0.06706955057737721,0.056831930609292786,0.12042636566139345,0.053206056362699754,0.0647113392051868,0.04939086883825093,0.04085478332135043,0.039224171668312505,0.03733069665753217,0.03922392553428338,0.0442931979417714,0.1245542175258306,0.13737100526821944,0.12484400235282385,0.040128676471617594,0.05723353871423071,0.05483116940133886,0.03500301707801063,0.034339600485608794,0.1562013698833193,0.17704489206310414,0.15277125355387175,0.03698677501747731,0.12380296663717846,0.05750562519260104,0.047782723713358954,0.037734719806745524,0.0554538397829453,0.32910240896822845,0.060374599020858254,0.1890917955476326,0.134114456298459,0.11834637296397961,0.045730895335892446,0.13737100526821944,0.038040576166772484,0.037209817371671464,0.0587509251957911,0.039224171668312505,0.12069178138133109
The cyber-attacker accessed your information stored in an Internet site.,0.3748866510754416,0.3748866510754416,1.0000000000000002,0.048118873587391295,0.043696847978546,0.05750546490937834,0.0503642699295034,0.11244082251677917,0.10327808505504901,0.04029154156454086,0.11750844029114262,0.27938222176729366,0.03536712825338542,0.677358049514601,0.054623551531035104,0.1089563745192893,0.03448597092028945,0.03310955373049214,0.20017284868379603,0.15690590126051351,0.21774259500744778,0.15461407541870825,0.04034347408007118,0.03666451128561927,0.08852395605599948,0.35903818348169064,0.04628359177986049,0.18769147828424543,0.16881133150704355,0.058613967923321575,0.031472438435282524,0.04486625904714467,0.031220942665517212,0.036358777209286604,0.7320951932811406,0.2562182005688329,0.08324288194056008,0.2726076133256242,0.2777989548054806,0.29679775844177947,0.05553297027662435,0.03938708230951167,0.03475627058869112,0.10088246423924152,0.04034347408007118,0.08391760180064878,0.14884894489558875,0.2888158793148633,0.03310955373049214,0.23107106272341557
The cyber-attacker caused a program on your computer to crash.,0.16384652506511782,0.5221479629406125,0.048118873587391295,1.0000000000000002,0.5898643198914706,0.8367704471778608,0.3660622814398316,0.23277932659702674,0.13219731348814165,0.03994104844054331,0.05612166140246055,0.047555147440911785,0.1007689429762975,0.04452113148279928,0.05414838531806492,0.0413287042100537,0.03418598002362497,0.03282153618461155,0.031237136669269073,0.03282133022750399,0.037063135743729415,0.1042229977994052,0.11494767711741716,0.10446548050280911,0.03357839696377279,0.0478912002978011,0.04588097425660775,0.029289408615468866,0.028734282764064863,0.13070432581889166,0.1481455205807234,0.12783411384408178,0.03094935400685403,0.10359437500950608,0.048118873587391295,0.039983059645444866,0.03157521035820409,0.046402004978015984,0.042242200859964246,0.050519539409301276,0.15822598529961,0.1122227007749773,0.09902847140791898,0.03826615508197554,0.11494767711741716,0.03183114120800782,0.031135988737111403,0.04916090092352033,0.03282153618461155,0.10099103438792915
The cyber-attacker caused your computer program to run very slowly.,0.1487893660806624,0.474163638047047,0.043696847978546,0.5898643198914706,1.0,0.37955631054964395,0.8676160309622275,0.6685875444486122,0.12004865201535332,0.036270548159038525,0.05096419603740151,0.04318492710659314,0.0915084841750711,0.04042973098078724,0.04917225997050799,0.03753068121466218,0.03104435870421912,0.029805304450375245,0.028366507994895797,0.029805117420302677,0.03365710972557619,0.09464511845726781,0.10438422178284154,0.09486531749847818,0.03049261127911611,0.043490097396449975,0.041664606997864305,0.02659777214708164,0.02609366122075859,0.11869286684514199,0.4472624822157662,0.11608642145315479,0.02810517196782582,0.09407426481007708,0.043696847978546,0.03630869862053353,0.028673513406485704,0.04213775606658012,0.0383602293994832,0.04587689754426941,0.14368534237061606,0.10190966516703726,0.08992795836753545,0.03474957405858099,0.10438422178284154,0.02890592473707479,0.02827465534986638,0.04464311514362467,0.029805304450375245,0.09171016584232343
The cyber-attacker caused your computer to crash.,0.19580821193878903,0.19580821193878903,0.05750546490937834,0.8367704471778608,0.37955631054964395,1.0,0.43747037514820697,0.27818779616573636,0.15798516060646953,0.04773238416252718,0.06706936363699224,0.056831772203833154,0.12042603000160501,0.05320590806350029,0.06471115883775393,0.04939073117297728,0.04085466944838042,0.039224062340283784,0.0373305926071137,0.0392238162069407,0.044293074485040246,0.12455387036063903,0.13737062237928718,0.12484365437992617,0.040128564622497344,0.05723337918938422,0.05483101657252417,0.035002919515444146,0.03433950477215792,0.15620093450923425,0.17704439859266943,0.15277082774041834,0.03698667192565843,0.12380262156591969,0.05750546490937834,0.0477825905304065,0.03773461463020883,0.05545368521858535,0.050482424424085105,0.060374430741054884,0.18909126849932603,0.13411408248638074,0.11834604310167501,0.045730767871922505,0.13737062237928718,0.0380404701377341,0.037209713658175186,0.05875076144159149,0.039224062340283784,0.1206914449817596
The cyber-attacker caused your computer to run very slowly.,0.17149218176115064,0.17149218176115064,0.0503642699295034,0.3660622814398316,0.8676160309622275,0.43747037514820697,1.0000000000000002,0.7706030324348859,0.13836610635492025,0.041804838620619726,0.05874049604740451,0.04977423833293975,0.10547117723675971,0.046598644490177,0.0566751399417708,0.043257247302172216,0.03578121841500491,0.03435310481448775,0.03269477163006773,0.034352889246695203,0.03879263236785615,0.10908641043930674,0.12031154111695525,0.10934020824081365,0.03514528338682073,0.05012597260128698,0.0480219423235602,0.030656155716237105,0.030075125734847795,0.13680345061571297,0.5155073975750897,0.1337993044278002,0.032393560013703124,0.10842845389307092,0.0503642699295034,0.041848810216502635,0.03304862102961077,0.04856728617594507,0.044213370927390395,0.05287695928507653,0.16560936778826246,0.11745940776822045,0.10364948912689068,0.04005178883110546,0.12031154111695525,0.03331649451545604,0.03258890377867781,0.05145492193604737,0.03435310481448775,0.10570363221690646
The cyber-attacker caused your Internet connection to run very slowly.,0.05097039931342529,0.05097039931342529,0.11244082251677917,0.23277932659702674,0.6685875444486122,0.27818779616573636,0.7706030324348859,1.0000000000000002,0.18808577078021996,0.03571260995111059,0.10415419542483237,0.11112354663605324,0.031347831513987644,0.10403387008243177,0.048415858868230334,0.09657402903439505,0.030566813292284466,0.029346819012579493,0.07299275893860496,0.029346634859530537,0.08660654660810618,0.13704296122636692,0.0357586405967225,0.03249777347173424,0.07846365244906434,0.1349380475771883,0.04102369371305593,0.06844144407853128,0.25589927052553474,0.051952784451779144,0.3358163400232009,0.03976743373667002,0.027672839122662374,0.0322267845397436,0.11244082251677917,0.09342962081409337,0.07378274591920411,0.10842896388004702,0.037770146295334726,0.11805053071398455,0.049221926734644254,0.0349109379540293,0.030806394759081434,0.08941767816234586,0.0357586405967225,0.074380787251304,0.027839715396201715,0.11487575920636157,0.029346819012579493,0.03141692109602455
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.028946513228459127,0.028946513228459127,0.10327808505504901,0.13219731348814165,0.12004865201535332,0.15798516060646953,0.13836610635492025,0.18808577078021996,1.0,0.020281487888997935,0.08980229617437775,0.10206815322241523,0.01780269395229448,0.09555621030232106,0.027495768486696957,0.08870426737793244,0.017359147215546746,0.01666630232847868,0.06704462131570568,0.016666197746432247,0.0795490293179,0.13724275594879548,0.020307629075060188,0.018455755543732796,0.4478703669810529,0.12894641629949352,0.023297696481503736,0.0628641904658615,0.0616727175442555,0.02950441791011445,0.01584223025917101,0.0225842560039978,0.015715635241691752,0.018301858677899005,0.10327808505504901,0.08581609516115901,0.06777023271509336,0.09959315045354852,0.0214499798727449,0.10843066138237469,0.027953541124786544,0.019826211701622912,0.01749520752096612,0.22488603001004115,0.020307629075060188,0.06831954000563571,0.13196569747656164,0.10551460016496672,0.01666630232847868,0.01784193049992445
The cyber-attacker changed a device’s serial number.,0.04773251720554097,0.04773251720554097,0.04029154156454086,0.03994104844054331,0.036270548159038525,0.04773238416252718,0.041804838620619726,0.03571260995111059,0.020281487888997935,1.0,0.24390370599187708,0.29010093391823805,0.02935646821004393,0.03727903182067911,0.045340253315224496,0.034605905736004784,0.23892660401301818,0.027482569536724934,0.026155898852896053,0.20022014574276012,0.03103420265269873,0.030362719219684482,0.03348708172824219,0.030433360387128666,0.028116314370480486,0.04010090310759529,0.03841767363744227,0.024525001037019566,0.024060175602675725,0.048652496569065236,0.026123682754182802,0.03724121726776109,0.025914928808508146,0.030179585960540104,0.04029154156454086,0.033479152554478885,0.02643897925511836,0.03885395007957254,0.03537080702098798,0.0423016993162677,0.046095115918239296,0.03269322918789378,0.02884942609212068,0.23343524148536196,0.03348708172824219,0.026653278711937255,0.02607120430772353,0.041164065890131725,0.027482569536724934,0.029421168893337016
